 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),51539,205149,97884,58341,179774,160681,141041,115672, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4130,992,167,2948,575,688,728,478, 
 经营活动现金流入小计(万元),55672,206141,98051,61289,180349,161369,141769,116150, 
 购买商品、接受劳务支付的现金(万元),33611,152628,69885,41516,131163,126975,111322,90443, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4774,15855,7607,3956,13541,11328,10099,8221, 
 支付的各项税费(万元),2860,8008,3820,2367,7318,5066,4814,4733, 
 支付的其他与经营活动有关的现金(万元),9592,18823,9374,11022,16249,13831,10856,9054, 
 经营活动现金流出小计(万元),50838,195314,90687,58861,168271,157200,137221,112521, 
 经营活动产生的现金流量净额(万元),4834,10826,7365,2428,12078,4168,4548,3629, 
 收回投资所收到的现金(万元),--,--,--,--,2985,--,--,--, 
 取得投资收益所收到的现金(万元),82,220,93,38,101,122,98,48, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,19,10,--,7,3,13,30, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,216, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),82,239,103,38,3093,125,111,293, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),391,3374,1632,505,3798,5060,4161,3146, 
 投资所支付的现金(万元),8175,--,--,3867,--,122,1613,1200, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,114, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),8566,3374,1632,4372,3798,5182,5774,4460, 
 投资活动产生的现金流量净额(万元),-8484,-3135,-1528,-4334,-705,-5056,-5663,-4167, 
 吸收投资收到的现金(万元),41152,--,--,--,--,--,410,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,410,--, 
 取得借款收到的现金(万元),--,--,--,--,--,2000,1000,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),41152,0,0,0,0,2000,1410,0, 
 偿还债务支付的现金(万元),--,--,--,--,3000,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),864,3540,1307,1750,1630,1812,1334,1000, 
 其中：子公司支付给少数股东的股利、利润(万元),--,100,100,--,--,146,284,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),864,3540,1307,1750,4630,1812,1911,1000, 
 筹资活动产生的现金流量净额(万元),40288,-3540,-1307,-1750,-4630,188,-501,-1000, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),36638,4151,4529,-3656,6743,-700,-1615,-1538, 
 加:期初现金及现金等价物余额(万元),11648,7497,7497,7591,753,1454,3069,4606, 
 期末现金及现金等价物余额(万元),48286,11648,12026,3936,7497,753,1454,3069, 
 净利润(万元),--,10456,--,--,8151,6596,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
