 报告日期,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),456462,199016,360824,221881,318454,241123,182725, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),19190,8726,11790,8108,8944,10195,13021, 
 收到的其他与经营活动有关的现金(万元),4976,1489,4421,4225,4184,8077,1949, 
 经营活动现金流入小计(万元),480629,209231,377035,234214,331581,259395,197695, 
 购买商品、接受劳务支付的现金(万元),292245,135991,240179,152804,193494,172290,129794, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),61735,31251,51720,37643,41001,33637,27122, 
 支付的各项税费(万元),22985,9339,13736,10015,12580,7803,6961, 
 支付的其他与经营活动有关的现金(万元),55158,20279,42223,33297,35214,30278,18398, 
 经营活动现金流出小计(万元),432124,196860,347858,233759,282288,244007,182275, 
 经营活动产生的现金流量净额(万元),48505,12371,29177,455,49293,15388,15420, 
 收回投资所收到的现金(万元),3297,2151,100,100,984,800,--, 
 取得投资收益所收到的现金(万元),553,653,--,22,561,906,1038, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),37,23,29,11,28,15,24, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),44,--,257,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),3932,2826,386,133,1574,1722,1062, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5034,2413,13344,7069,11331,13235,11323, 
 投资所支付的现金(万元),7859,4488,525,500,455,3260,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,13508,7164,3790,--,--, 
 支付的其他与投资活动有关的现金(万元),--,145,1787,1251,520,809,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),12893,7046,29164,15983,16096,17304,11323, 
 投资活动产生的现金流量净额(万元),-8962,-4221,-28778,-15850,-14522,-15583,-10261, 
 吸收投资收到的现金(万元),26,--,16281,16281,--,12310,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),8115,4422,19875,11829,26953,25507,17410, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),8141,4422,36156,28110,26953,37817,17410, 
 偿还债务支付的现金(万元),7171,4219,24340,10190,25543,27485,13024, 
 分配股利、利润或偿付利息所支付的现金(万元),7,56,9072,9035,24735,10230,2182, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),7178,4275,33412,19225,50278,37715,15206, 
 筹资活动产生的现金流量净额(万元),963,147,2744,8885,-23325,102,2204, 
 汇率变动对现金及现金等价物的影响(万元),-1014,-242,707,491,781,46,-229, 
 现金及现金等价物净增加额(万元),39493,8056,3850,-6019,12227,-47,7134, 
 加:期初现金及现金等价物余额(万元),31356,31356,27505,27505,15279,15326,8192, 
 期末现金及现金等价物余额(万元),70849,39412,31356,21487,27505,15279,15326, 
 净利润(万元),37482,16137,5286,7916,17914,16610,16945, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),4860,2168,2763,625,1494,560,497, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),8618,4312,8081,5870,7508,6347,4813, 
 无形资产摊销(万元),411,186,238,171,247,123,90, 
 长期待摊费用摊销(万元),1311,504,1112,657,667,205,90, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),267,58,53,57,-20,4,-31, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),-245,-254,-891,-578,3037,-227,-1231, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),63,63,89,35,180,196,163, 
 投资损失(万元),-1860,-868,1001,964,442,-714,-1038, 
 递延所得税资产减少(万元),-580,377,-782,-354,-1206,-191,-511, 
 递延所得税负债增加(万元),-12,-3,14,7,-346,74,207, 
 存货的减少(万元),-5174,3700,-12403,-17593,-14204,-5893,-9576, 
 经营性应收项目的减少(万元),-8312,-4723,-23911,-40077,-25115,-63939,-28803, 
 经营性应付项目的增加(万元),11677,-9286,48527,42756,58694,62234,33803, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),48505,12371,29177,455,49293,15388,15420, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),70849,39412,31356,21487,27505,15279,15326, 
 现金的期初余额(万元),31356,31356,27505,27505,15279,15326,8192, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),39493,8056,3850,-6019,12227,-47,7134, 

