 报告日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),32472,77313,24723,77022,70512,19979,58444,40980,34232, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),125,615,479,1048,1057,393,2172,429,1191, 
 经营活动现金流入小计(万元),32597,77928,25201,78070,71570,20372,60615,41409,35423, 
 购买商品、接受劳务支付的现金(万元),20445,51511,21198,68263,54984,22647,38022,25700,20440, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5518,9834,4804,8964,8278,3357,8126,7098,6471, 
 支付的各项税费(万元),891,2191,1308,1815,1799,1156,2121,1837,1362, 
 支付的其他与经营活动有关的现金(万元),2602,4448,1576,3782,5959,2261,5055,3867,3185, 
 经营活动现金流出小计(万元),29456,67983,28885,82824,71019,29420,53324,38501,31457, 
 经营活动产生的现金流量净额(万元),3142,9945,-3684,-4754,551,-9049,7291,2908,3967, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,1,0,1,1,--,2,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,1,0,1,1,0,2,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1101,840,324,1241,832,394,940,282,403, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1101,840,324,1241,832,394,940,282,403, 
 投资活动产生的现金流量净额(万元),-1101,-840,-323,-1240,-831,-394,-939,-282,-403, 
