 报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),3188,16274,7620,14563,6559,11045,4854,6115,2712,3241,913,134, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),21,790,157,339,128,49,30,318,512,195,114,70, 
 经营活动现金流入小计(万元),3208,17064,7776,14903,6686,11093,4885,6433,3223,3436,1028,203, 
 购买商品、接受劳务支付的现金(万元),848,3751,1923,2187,1323,1730,1060,1989,1047,1379,513,68, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1180,3716,1957,2763,1297,1753,748,702,295,306,108,28, 
 支付的各项税费(万元),451,2280,1100,1707,862,1815,924,928,322,379,68,10, 
 支付的其他与经营活动有关的现金(万元),622,2668,914,2359,967,1293,531,1143,652,742,236,147, 
 经营活动现金流出小计(万元),3101,12415,5895,9017,4449,6591,3263,4762,2316,2806,924,252, 
 经营活动产生的现金流量净额(万元),107,4650,1882,5886,2237,4502,1622,1671,908,630,103,-48, 
 收回投资所收到的现金(万元),--,14500,6500,10000,3000,18280,-2000,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,145,57,54,16,71,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,14645,6557,10054,3016,18351,-2000,0,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),896,4552,3588,4027,1783,118,26,424,83,273,58,12, 
 投资所支付的现金(万元),4000,12000,8000,12500,6500,16100,-2000,2180,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4896,16552,11588,16527,8283,16218,-1974,2604,83,273,58,12, 
 投资活动产生的现金流量净额(万元),-4896,-1906,-5030,-6474,-5267,2133,-26,-2604,-83,-273,-58,-12, 
 吸收投资收到的现金(万元),--,230,98,--,--,2679,2679,1694,1694,185,--,15, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,230,98,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,100,90,80, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,672,672,484,484,300,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,902,770,484,484,2979,2679,1694,1694,285,90,95, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,100,100,90,90,35, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,409,322,252,252,5,8,5, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),55,38,19,766,397,531,5,--,--,--,--,--, 
 筹资活动现金流出小计(万元),55,38,19,766,397,940,328,352,352,95,98,40, 
 筹资活动产生的现金流量净额(万元),-55,864,751,-282,87,2039,2351,1342,1342,190,-8,55, 
 汇率变动对现金及现金等价物的影响(万元),-0,-0,-0,0,0,0,0,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-4845,3607,-2398,-869,-2943,8674,3948,409,2167,546,37,-6, 
 加:期初现金及现金等价物余额(万元),12466,8859,8859,9728,9728,1054,1054,645,645,99,63,69, 
 期末现金及现金等价物余额(万元),7622,12466,6461,8859,6786,9728,5003,1054,2812,645,99,63, 
 净利润(万元),1390,6555,3414,5969,3042,3560,1809,2154,886,732,140,25, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),22,48,49,24,27,4,1,11,1,-15,8,5, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),269,905,392,404,132,134,59,60,18,18,10,5, 
 无形资产摊销(万元),15,51,23,24,12,24,11,22,11,9,--,--, 
 长期待摊费用摊销(万元),7,118,27,35,12,32,39,21,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,6,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,6,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),0,0,--,-0,0,0,--,4,4,5,8,5, 
 投资损失(万元),--,-145,-57,-54,-16,-71,--,--,--,--,--,--, 
 递延所得税资产减少(万元),-3,-7,-7,-4,-4,-1,-0,-2,--,4,-2,-1, 
 递延所得税负债增加(万元),--,33,--,51,--,52,--,--,--,--,--,--, 
 存货的减少(万元),-30,-574,-327,-21,-164,-86,-29,-183,-196,-473,-127,-8, 
 经营性应收项目的减少(万元),-1305,-1639,-1574,-853,-603,-106,-420,-648,-315,-143,-24,-34, 
