报告日期,2018-06-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),48772,59058,34623,14812,43615,54449,59838,
营业收入(万元),48772,59058,34623,14812,43615,54449,59838,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),37317,39877,18294,7649,27004,37986,48544,
营业成本(万元),2487,4497,3818,1592,4122,3558,2979,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),1646,3217,3839,--,3873,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),912,1122,611,218,675,852,967,
销售费用(万元),30511,29131,7698,2721,13378,27058,38264,
管理费用(万元),1852,2827,2408,2979,5102,6576,6407,
财务费用(万元),-757,-1121,-166,148,-130,-37,-31,
资产减值损失(万元),665,204,86,-9,-16,-21,-43,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),12,35655,4456,2110,3764,2577,577,
对联营企业和合营企业的投资收益(万元),--,397,2759,1349,2505,2136,364,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),11674,55691,20784,9272,20375,19039,11872,
营业外收入(万元),20,1889,1090,255,2245,1372,1724,
营业外支出(万元),1,49,57,21,378,460,45,
非流动资产处置损失(万元),--,--,--,20,--,368,40,
利润总额(万元),11694,57531,21818,9507,22242,19951,13551,
所得税费用(万元),1643,9649,2652,1714,2717,2365,1657,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),10050,47882,19165,7793,19525,17586,11895,
归属于母公司所有者的净利润(万元),10050,47882,19165,7793,19525,17590,11844,
被合并方在合并前实现净利润(万元),--,-0,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,-3,51,
基本每股收益,0.84,3.99,1.6,0.65,1.63,1.47,0.99,
稀释每股收益,0.84,3.99,1.6,0.65,1.63,1.47,0.99,
