报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),246527,1036608,182282,811150,673784,568410,
营业收入(万元),246527,1036608,182282,811150,673784,568410,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),207711,910904,159539,745366,627588,518213,
营业成本(万元),176898,757688,130686,642892,542690,457804,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),1239,6372,1291,3759,3021,1644,
销售费用(万元),6414,30488,5096,19943,16299,12115,
管理费用(万元),20759,96807,19895,66223,49490,40527,
财务费用(万元),900,7816,907,11221,12583,4970,
资产减值损失(万元),1501,11733,1664,1327,3505,1153,
公允价值变动收益(万元),6,24,7,-10,-59,--,
投资收益(万元),3947,16109,2349,11342,8639,3435,
对联营企业和合营企业的投资收益(万元),3883,15912,2321,10504,7996,2819,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),43016,144670,25206,76907,54556,53632,
营业外收入(万元),40,170,19,2644,7778,2440,
营业外支出(万元),29,153,146,222,31,426,
非流动资产处置损失(万元),--,--,--,--,--,342,
利润总额(万元),43027,144687,25079,79329,62303,55646,
所得税费用(万元),5319,21230,3492,9959,7255,7070,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),37708,123458,21587,69370,55048,48576,
归属于母公司所有者的净利润(万元),37207,126835,22119,71709,56326,48807,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),502,-3377,-532,-2339,-1278,-231,
基本每股收益,0.55,1.86,0.32,1.05,0.88,1,
稀释每股收益,0.55,1.86,0.32,1.05,0.88,1,
