报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
营业总收入(万元),36057,16862,53452,34994,21506,8983,37640,16155,6512,29049,13170,26649,24141,
营业收入(万元),36057,16862,53452,34994,21506,8983,37640,16155,6512,29049,13170,26649,24141,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),33043,15350,46294,30043,18805,7840,31558,14241,5743,24495,10465,22694,21728,
营业成本(万元),15316,7304,25691,17762,10955,4629,18309,8041,3371,14032,6313,12802,10870,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),452,219,625,396,243,101,395,137,47,256,117,247,193,
销售费用(万元),13960,6324,14219,8538,5464,2110,9277,4360,1465,6121,2341,5788,5808,
管理费用(万元),3215,1400,5475,3103,2013,992,3471,1587,820,3960,1607,3522,4570,
财务费用(万元),-80,-52,18,49,23,8,127,59,25,71,36,122,227,
资产减值损失(万元),179,156,266,194,107,--,-21,57,15,55,51,213,61,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),5,--,--,0,--,--,--,--,--,-5,--,85,1,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3081,1516,7484,5040,2783,1142,6082,1914,769,4549,2705,4040,2414,
营业外收入(万元),108,39,352,272,82,93,266,91,60,557,204,390,594,
营业外支出(万元),31,19,134,79,25,8,83,0,0,153,1,71,109,
非流动资产处置损失(万元),--,--,--,4,2,--,7,--,--,50,--,32,82,
利润总额(万元),3158,1536,7702,5233,2840,1227,6266,2005,829,4953,2908,4359,2899,
所得税费用(万元),366,257,845,597,381,212,813,316,157,488,465,580,372,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2792,1279,6857,4635,2459,1015,5453,1688,672,4464,2443,3779,2527,
归属于母公司所有者的净利润(万元),2792,1279,6857,4635,2459,1015,5453,1688,672,4464,2443,3779,2527,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,-1,-0,
基本每股收益,0.12,0.11,0.72,0.53,0.28,0.12,0.63,0.2,0.08,0.55,0.3,0.8,0.61,
稀释每股收益,0.12,0.11,0.72,0.53,0.28,0.12,0.63,0.2,0.08,0.55,0.3,0.8,0.61,
