报告日期,2017-06-30,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),7132,8755,9222,7975,12530,2797,1987,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),23207,27100,22359,34470,34937,20270,9136,
应收账款(万元),23254,15244,16185,11208,6392,21451,21734,
预付款项(万元),333,201,181,279,517,142,144,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),172,193,231,385,292,46,62,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),4393,3998,4799,6850,4590,4068,3214,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,1,0,2,8,--,--,
其他流动资产(万元),9712,14225,7928,9351,5832,229,349,
流动资产合计(万元),68203,69715,60905,70609,65187,49004,36626,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,239,269,419,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,836,847,893,--,
固定资产原值(万元),25812,25557,--,--,--,--,--,
累计折旧(万元),8949,7961,--,--,--,--,--,
固定资产净值(万元),16863,17596,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),16863,17596,13959,11321,11446,12648,14919,
在建工程(万元),836,517,3391,1436,1435,458,703,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),2848,2881,2949,3001,3018,1916,1962,
开发支出(万元),--,--,--,--,--,--,--,
