报告日期,2018-03-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),4814701,6440846,4782051,3301509,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),1119697,1042188,441200,352787,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),--,--,--,--,
应收账款(万元),--,--,--,--,
预付款项(万元),--,--,--,--,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),322194,290904,249262,210018,
应收股利(万元),--,--,--,--,
其他应收款(万元),--,--,--,--,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),518994,551878,288900,819730,
存货(万元),--,--,--,--,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),--,--,--,--,
流动资产合计(万元),--,--,--,--,
发放贷款及垫款(万元),15904693,14952463,11497212,9114117,
可供出售金融资产(万元),3374487,2474273,2432882,2199359,
持有至到期投资(万元),7083731,6960937,4734812,3478512,
长期应收款(万元),--,--,--,--,
长期股权投资(万元),--,--,--,--,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),--,--,--,--,
固定资产原值(万元),219635,217094,110285,97269,
累计折旧(万元),85047,80359,69902,58076,
固定资产净值(万元),134588,136735,40383,39192,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),134588,136735,40383,39192,
在建工程(万元),15242,14018,81569,7921,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),36364,36144,25882,23665,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),--,--,--,--,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),141614,137850,98228,41370,
其他非流动资产(万元),207015,110309,67720,35602,
非流动资产合计(万元),--,--,--,--,
资产总计(万元),46774858,47054409,38350545,28536618,
短期借款(万元),--,--,--,--,
向中央银行借款(万元),815000,865000,310000,127000,
吸收存款及同业存放(万元),32815814,35066407,29028470,22815069,
拆入资金(万元),715610,480000,0,64936,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),--,--,--,--,
应付账款(万元),--,--,--,--,
预收账款(万元),--,--,--,--,
卖出回购金融资产款(万元),1864650,1643996,1057200,1402650,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),64149,75135,54178,35475,
应交税费(万元),85330,53538,92819,72571,
应付利息(万元),382347,345531,286968,232205,
应付股利(万元),--,--,--,--,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),--,--,--,--,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),--,--,--,--,
长期借款(万元),--,--,--,--,
应付债券(万元),7397166,5952863,5248259,1836993,
长期应付款(万元),--,--,--,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),300,300,300,300,
长期递延收益(万元),--,--,--,--,
递延所得税负债(万元),--,--,--,--,
其他非流动负债(万元),98594,171985,236148,167779,
非流动负债合计(万元),--,--,--,--,
负债合计(万元),44238960,44654755,36314341,26754978,
实收资本(或股本)(万元),307940,307940,307940,307940,
资本公积(万元),360068,360068,360068,356366,
减:库存股(万元),--,--,--,784,
专项储备(万元),--,--,--,--,
盈余公积(万元),202187,202187,163322,131940,
一般风险准备(万元),555470,555470,468670,345147,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),1058438,935144,713929,577530,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),2461792,2328405,1993964,1759571,
少数股东权益(万元),74106,71249,42240,22070,
所有者权益(或股东权益)合计(万元),2535898,2399654,2036204,1781640,
负债和所有者权益(或股东权益)总计(万元),46774858,47054409,38350545,28536618,		
  
