报告日期,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),260828,101851,90513,66346,66870,63119,50436,36597,16269,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,
应收账款(万元),5840,4693,5520,5501,5481,4492,4266,6835,4819,
预付款项(万元),12011,14915,15082,5138,4590,3182,2871,2594,2711,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),6494,7148,6661,5160,4984,5017,5335,5022,4070,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),26971,25862,25470,23251,22906,17120,19547,18914,17718,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),464,923,215,--,--,--,--,--,--,
流动资产合计(万元),312609,155391,143463,105396,104830,92930,82455,69963,45587,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),45846,24740,24646,24369,23838,--,23651,--,--,
累计折旧(万元),6604,6246,5870,4450,3188,--,1927,--,--,
固定资产净值(万元),39242,18494,18776,19919,20650,--,21724,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),39242,18494,18776,19919,20650,21433,21724,1902,1974,
在建工程(万元),6175,5132,3192,581,526,157,102,21287,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),1061,1137,1205,405,140,90,95,56,79,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),3767,3763,3655,2914,2752,3458,3977,3075,2757,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3106,5666,5666,3280,2731,2223,2261,2749,1680,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),53352,34192,32493,27100,26799,27362,28159,29070,6490,
资产总计(万元),365961,189583,175956,132496,131629,120292,110614,99033,52077,
短期借款(万元),--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,
应付账款(万元),6660,6493,4788,4459,4516,7644,8162,6820,7275,
预收账款(万元),15863,12698,13543,15388,17637,16364,16245,10438,5911,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1492,1473,3503,2464,2655,1641,1928,4888,1930,
应交税费(万元),6588,12860,10424,13498,16627,9586,14271,9655,5732,
应付利息(万元),--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),5855,3174,3757,5219,3975,4028,4450,3603,3417,
预提费用(万元),--,--,--,--,--,--,--,--,--,
