 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),27239,110797,41277,22195,118492,54651,33736,2960,20026,18756, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),598,4345,3491,256,2687,320,514,76,1017,2254, 
 收到的其他与经营活动有关的现金(万元),1689,6317,5854,6004,2468,1359,1459,532,2483,1650, 
 经营活动现金流入小计(万元),29526,121459,50622,28455,123647,56330,35709,3569,23526,22660, 
 购买商品、接受劳务支付的现金(万元),15161,69291,41226,21074,72867,30937,17766,2803,12087,6096, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4810,13361,6619,3695,10763,4785,6107,1338,5025,4058, 
 支付的各项税费(万元),2094,12242,8421,2283,3242,1352,2365,991,5059,4283, 
 支付的其他与经营活动有关的现金(万元),4542,14808,9123,3279,13018,3304,3634,940,4815,2665, 
 经营活动现金流出小计(万元),26608,109702,65389,30331,99890,40378,29872,6071,26986,17103, 
 经营活动产生的现金流量净额(万元),2918,11757,-14767,-1876,23757,15952,5837,-2502,-3459,5557, 
 收回投资所收到的现金(万元),--,1200,1000,--,9000,3000,9000,--,1500,69700, 
 取得投资收益所收到的现金(万元),--,1477,56,48,39,31,42,--,46,281, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,88,72,3,27,4,1181,--,3,3, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,150,150,--,--,--,1025,350,142,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,2915,1278,52,9065,3035,11248,350,1691,69984, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),782,7257,4126,1511,2556,448,164,9,231,422, 
 投资所支付的现金(万元),--,--,--,--,6000,2000,13000,--,1700,64700, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,443,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),782,7257,4126,1511,8556,2448,13164,9,2374,65122, 
 投资活动产生的现金流量净额(万元),-782,-4342,-2848,-1459,509,587,-1916,341,-683,4861, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,4950, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
