报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),10442,5325,3178,7669,11028,14178,5939,3477,8622,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),4990,3053,2260,3025,2077,72,329,262,--,
应收账款(万元),29094,27529,20125,19486,20609,25839,22531,15282,9821,
预付款项(万元),1230,1394,1491,1183,1067,531,360,207,268,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),23,14,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),415,411,517,378,492,385,301,664,1503,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),11873,13789,10265,8458,11095,8195,10067,9582,4423,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),10515,10418,--,1111,533,344,485,800,798,
流动资产合计(万元),68584,61933,37836,41310,46902,49543,40012,30274,25436,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,39882,--,25002,18533,--,--,--,--,
累计折旧(万元),--,10191,--,8754,7407,--,--,--,--,
固定资产净值(万元),--,29692,--,16248,11125,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),31776,29692,19305,16248,11125,10594,10347,9554,6599,
在建工程(万元),9139,7435,10928,12727,11091,7061,2237,21,266,
