报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),173246,247239,131867,176216,250785,100225,76217,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),40978,1474,110341,56896,43419,29084,47259,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),--,32,173,20,580,883,1015,
应收账款(万元),170301,159683,157423,147364,137417,146264,101438,
预付款项(万元),6583,5192,5665,5529,3903,2273,1533,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,15,111,413,32,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),2043,2562,3721,6581,5795,241951,74390,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),77171,72694,66599,57757,51127,25215,29892,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,981,1114,1188,--,--,
其他流动资产(万元),51348,57804,37835,124409,109706,88043,143775,
流动资产合计(万元),521670,546680,514604,575900,604031,635677,475551,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),72259,68340,64070,65877,61479,27804,20771,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,2645,3095,3320,--,--,
长期股权投资(万元),50333,38308,27377,22625,23163,4065,1663,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,483093,--,--,368452,279272,--,
累计折旧(万元),--,199737,--,--,171347,145491,--,
固定资产净值(万元),--,283356,--,--,197104,133780,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),285508,283356,258040,197631,197104,133780,147549,
在建工程(万元),104873,84367,102794,59443,71222,93601,49024,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),42266,42605,52574,30831,31217,25612,14111,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),95101,95804,100621,32498,32629,30816,19289,
长期待摊费用(万元),57120,57882,40999,44986,26767,7622,22566,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),26009,24416,23085,5007,4557,6476,3601,
其他非流动资产(万元),15923,16286,5436,4108,3580,3190,2101,
非流动资产合计(万元),749392,711365,677641,466101,455037,332966,280674,
资产总计(万元),1271063,1258045,1192245,1042001,1059068,968643,756225,
短期借款(万元),134017,131819,136640,60716,48939,17200,99028,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,1095,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,345,325,2089,
应付账款(万元),30932,33324,30159,33311,30934,26364,18826,
预收账款(万元),56725,60413,50279,41365,39572,23269,16404,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),18812,44239,33348,16360,36147,22836,19619,
应交税费(万元),26022,28141,16390,41089,56948,21156,7378,
应付利息(万元),74,239,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,2965,3629,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),152738,161818,186852,167938,206945,183353,66683,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
