报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),15870,66886,31492,15178,62559,28839,47198,44695,35216,
营业收入(万元),15870,66886,31492,15178,62559,28839,47198,44695,35216,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),14032,56736,26586,13071,54529,22845,41796,39354,32384,
营业成本(万元),11813,49324,23009,11142,44524,20340,35228,33729,27156,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),110,623,341,170,446,174,423,229,220,
销售费用(万元),1000,4032,1944,1036,4065,1818,3663,3402,2881,
管理费用(万元),787,2121,1065,607,6128,1004,1486,1473,1291,
财务费用(万元),281,632,263,116,89,62,157,350,638,
资产减值损失(万元),40,4,-37,--,-722,-553,839,171,198,
公允价值变动收益(万元),--,--,--,--,--,--,23,-10,-23,
投资收益(万元),359,845,613,200,834,621,964,766,749,
对联营企业和合营企业的投资收益(万元),359,833,608,200,823,615,860,692,717,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),2207,10982,5519,2307,8747,6615,6369,6097,3557,
营业外收入(万元),116,380,143,134,253,40,444,229,206,
营业外支出(万元),1,4,13,13,175,84,25,45,96,
非流动资产处置损失(万元),--,--,9,--,--,84,--,40,79,
利润总额(万元),2322,11357,5650,2428,8825,6570,6788,6281,3668,
所得税费用(万元),481,2701,1316,644,2043,1546,1455,1390,716,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),1841,8656,4334,1784,6782,5024,5333,4891,2952,
归属于母公司所有者的净利润(万元),1841,8656,4334,1784,6782,5024,5099,4505,2690,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,234,385,262,
基本每股收益,0.28,1.44,0.72,0.3,1.13,0.84,0.85,0.75,0.45,
稀释每股收益,0.28,1.44,0.72,0.3,1.13,0.84,0.85,0.75,0.45,
