报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),99126,344845,153366,73212,255118,192162,179186,128712,86672,
营业收入(万元),99126,344845,153366,73212,255118,192162,179186,128712,86672,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),90312,312440,134097,64208,228428,159596,159352,117910,78832,
营业成本(万元),79830,270598,117070,55638,189877,135051,129468,97018,65644,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),69,444,157,63,269,159,331,330,1922,
销售费用(万元),4150,17461,7827,3527,11840,7714,10353,8452,3072,
管理费用(万元),4426,14924,5985,3052,11430,8146,6663,6154,4329,
财务费用(万元),1837,7984,3025,1927,14724,8314,12968,6145,3321,
资产减值损失(万元),--,1028,33,--,289,214,-430,-188,544,
公允价值变动收益(万元),--,--,-363,-9,--,169,--,--,--,
投资收益(万元),--,-1528,-354,-32,481,138,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),8814,41352,18553,8962,27170,32872,19834,10803,7840,
营业外收入(万元),1021,3341,1357,225,13730,2126,8703,4663,3718,
营业外支出(万元),5,85,78,3,306,228,26,767,9,
非流动资产处置损失(万元),--,64,51,--,208,150,1,263,2,
利润总额(万元),9829,44609,19832,9184,40594,34769,28511,14699,11549,
所得税费用(万元),1599,7186,2666,1442,6112,5335,4177,2371,1723,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),8231,37423,17166,7742,34482,29434,24334,12328,9826,
归属于母公司所有者的净利润(万元),8231,37423,17166,7742,34577,29529,24174,12365,9949,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,-95,-95,160,-38,-123,
基本每股收益,0.22,1.04,0.48,0.22,0.96,0.82,3.02,1.55,1.24,
稀释每股收益,0.22,1.04,0.48,0.22,0.96,0.82,3.02,1.55,1.24,
