 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),27153,108674,85735,47991,20153,112713,86822,102359,87255,70677,63451, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),407,1311,1467,864,453,2107,2100,963,1192,1790,--, 
 收到的其他与经营活动有关的现金(万元),23,671,571,524,558,674,439,164,164,86,643, 
 经营活动现金流入小计(万元),27584,110656,87773,49378,21163,115494,89361,103487,88611,72553,64094, 
 购买商品、接受劳务支付的现金(万元),19592,69483,55640,28629,14329,71947,59185,67890,63169,50053,42425, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6286,25176,18255,13354,5451,22928,15514,19765,14989,13737,13135, 
 支付的各项税费(万元),909,6298,5162,2971,2168,4701,4018,4407,3628,2673,2358, 
 支付的其他与经营活动有关的现金(万元),2947,7426,6380,3024,2281,6586,5368,5596,4094,3576,3425, 
 经营活动现金流出小计(万元),29734,108383,85437,47977,24228,106162,84084,97659,85881,70040,61343, 
 经营活动产生的现金流量净额(万元),-2150,2273,2336,1401,-3064,9332,5276,5827,2730,2512,2751, 
 收回投资所收到的现金(万元),26500,--,--,--,--,30,30,--,6000,582,--, 
 取得投资收益所收到的现金(万元),262,--,--,--,--,19,19,--,11,1,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,4,2,2,2,26,75,4,--,1,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),84,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),26846,4,2,2,2,75,123,4,6011,584,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2284,8813,3552,2530,1230,6505,5252,5220,4880,5532,2017, 
 投资所支付的现金(万元),19384,26500,--,--,--,--,--,--,6000,562,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),84,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
