报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),89411,30307,9431,16063,31707,14887,9978,3104,3254,4266,3590,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3929,326,982,221,120,118,112,322,177,--,409,
应收账款(万元),59960,40361,45447,41690,31174,20199,12034,13382,11012,5636,7099,
预付款项(万元),1820,856,1110,1472,826,382,544,463,943,909,966,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),765,666,417,432,379,952,351,392,438,237,654,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),115185,106028,80356,91311,74499,42752,30370,23993,22024,17233,13820,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,1024,183,1502,342,252,100,--,--,--,--,
流动资产合计(万元),271069,179568,137924,152691,139048,79543,53489,41655,37848,28281,26538,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,24281,21679,--,20102,--,--,--,--,--,--,
累计折旧(万元),--,10068,9621,--,8255,--,--,--,--,--,--,
固定资产净值(万元),--,14213,12058,--,11847,--,--,--,--,--,--,
固定资产减值准备(万元),--,853,853,--,--,--,--,--,--,--,--,
固定资产(万元),13399,13360,11206,11698,11847,8098,7567,7379,7085,5778,3321,
在建工程(万元),--,--,--,--,--,--,--,27,133,71,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2156,2221,2286,2202,2261,1880,1941,1977,2000,1602,1642,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,70,98,51,86,24,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1258,1061,1145,1436,1069,276,259,271,164,101,86,
其他非流动资产(万元),--,574,820,81,89,439,100,134,87,343,--,
非流动资产合计(万元),16813,17216,15456,15416,15266,10693,9937,9887,9520,7981,5072,
资产总计(万元),287883,196784,153381,168108,154314,90236,63425,51542,47368,36262,31611,
短期借款(万元),21333,14500,15462,16500,16985,7000,5000,5305,6000,4700,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),9338,8463,5323,7067,6485,6671,2698,1216,--,--,--,
应付账款(万元),75630,75772,43213,67289,58362,26838,21598,14345,12129,9698,10010,
预收账款(万元),2205,1128,1090,1390,1184,1174,1091,838,810,92,4,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),4398,6371,4477,2462,5147,2999,1951,932,1323,992,524,
应交税费(万元),4062,3956,3319,2789,2108,2463,510,485,646,796,281,
应付利息(万元),--,--,--,--,3,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),1024,1493,604,1060,1163,736,315,205,214,1285,8050,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),117991,111682,73488,98557,91438,47880,33163,23326,21123,17563,18870,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,2634,1082,--,--,--,--,--,--,
长期递延收益(万元),280,280,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),280,280,0,2634,1082,0,0,0,0,0,0,
负债合计(万元),118271,111962,73488,101191,92519,47880,33163,23326,21123,17563,18870,
实收资本(或股本)(万元),26741,20056,20056,20056,7428,7200,7200,7200,7200,6430,6000,
资本公积(万元),75966,3098,3098,3098,15726,11768,11768,11768,11768,8303,4085,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),307,303,292,275,270,214,161,134,107,75,59,
盈余公积(万元),5986,5986,3723,3723,3723,2231,1068,681,681,388,327,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),60612,55380,52725,39765,34648,20944,10067,8434,6490,3503,2270,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),169612,84822,79893,66917,61795,42356,30263,28217,26245,18698,12741,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),169612,84822,79893,66917,61795,42356,30263,28217,26245,18698,12741,
负债和所有者权益(或股东权益)总计(万元),287883,196784,153381,168108,154314,90236,63425,51542,47368,36262,31611,		
