报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),66284,235487,171582,58759,178848,108699,55644,25258,37163,35678,26683,
营业收入(万元),66284,235487,171582,58759,178848,108699,55644,25258,37163,35678,26683,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),60090,207256,148849,51073,160816,94814,51042,23009,33274,30976,23738,
营业成本(万元),52263,175774,125754,43048,131603,79092,41560,18592,25616,23751,18755,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),261,842,663,247,828,645,414,184,290,225,189,
销售费用(万元),2841,13898,10095,3369,11701,7019,3930,1572,2877,2970,2027,
管理费用(万元),3491,14377,9797,3053,13962,7046,4224,1883,3805,3873,2534,
财务费用(万元),-126,509,362,152,1245,523,403,193,312,78,17,
资产减值损失(万元),1359,1856,2177,1204,1478,490,511,586,373,79,215,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,81,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,-303,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6194,28233,22734,7686,18032,13884,4602,2249,3889,4702,2722,
营业外收入(万元),3,541,303,86,856,430,145,74,61,68,872,
营业外支出(万元),65,2058,1989,1764,1224,72,50,19,40,11,131,
非流动资产处置损失(万元),--,--,0,--,15,5,--,--,4,--,37,
利润总额(万元),6132,26715,21048,6008,17664,14242,4697,2304,3910,4759,3463,
所得税费用(万元),899,3720,2971,891,2468,2202,734,360,630,838,698,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),5232,22995,18077,5117,15196,12041,3963,1944,3280,3921,2765,
归属于母公司所有者的净利润(万元),5232,22995,18077,5117,15196,12041,3963,1944,3280,3921,2765,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.26,1.15,0.9,0.26,0.78,0.62,0.2,0.27,0.47,0.65,1.86,
稀释每股收益,0.26,1.15,0.9,0.26,0.78,0.62,0.2,0.27,0.47,0.65,1.86,
