报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),26494,9003,49781,16418,3674,34348,29216,26443,26212,
营业收入(万元),26494,9003,49781,16418,3674,34348,29216,26443,26212,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),22269,10522,40364,14786,6037,26616,21577,19037,20412,
营业成本(万元),5168,2451,10440,3176,978,6759,5090,6490,4154,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),383,219,1016,356,84,660,616,346,390,
销售费用(万元),7128,3585,12048,4053,1839,7006,4665,3774,3913,
管理费用(万元),9860,4184,16616,7067,3227,12735,10419,8460,11796,
财务费用(万元),-1024,-32,-72,-138,-135,-819,-461,-386,-340,
资产减值损失(万元),755,115,317,271,44,275,1247,353,499,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),-14,--,14,5,--,563,28,-12,-34,
对联营企业和合营企业的投资收益(万元),--,--,14,5,--,14,28,-12,-34,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),6857,386,14141,3343,-774,8295,7668,7393,5766,
营业外收入(万元),225,4,348,636,9,3382,2430,1734,1454,
营业外支出(万元),1,0,19,13,--,5,36,4,0,
非流动资产处置损失(万元),--,--,--,4,--,2,16,1,0,
利润总额(万元),7081,390,14470,3965,-765,11672,10062,9124,7220,
所得税费用(万元),871,98,1237,378,5,1616,1238,1290,1494,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),6210,292,13233,3587,-770,10056,8824,7834,5726,
归属于母公司所有者的净利润(万元),6210,292,13233,3587,-770,10056,8824,7834,5726,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,0.58,0.04,2.57,0.72,-0.15,2.01,1.86,1.82,1.34,
稀释每股收益,0.58,0.04,2.57,0.72,-0.15,2.01,1.86,1.82,1.34,
