 报告日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),51731,126381,61609,117291,135587,104646,106941,90555,85190, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,34,--,--,--,8,30,68,3, 
 收到的其他与经营活动有关的现金(万元),2734,5438,1696,5068,7315,10363,9996,21766,5945, 
 经营活动现金流入小计(万元),54465,131853,63305,122359,142902,115017,116967,112390,91138, 
 购买商品、接受劳务支付的现金(万元),35495,76705,42245,62407,71974,66834,61128,47805,50664, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),18813,33601,18221,31470,29559,26693,22836,19438,20006, 
 支付的各项税费(万元),2213,3220,1464,4283,4645,4358,2557,3466,1070, 
 支付的其他与经营活动有关的现金(万元),6208,11534,5290,10896,12485,15750,15293,15770,20144, 
 经营活动现金流出小计(万元),62729,125060,67219,109057,118663,113636,101814,86479,91884, 
 经营活动产生的现金流量净额(万元),-8264,6793,-3914,13303,24238,1381,15153,25910,-746, 
 收回投资所收到的现金(万元),--,2154,--,--,--,--,--,--,43, 
