报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,
货币资金(万元),35611,43697,20818,40805,26213,10516,4448,6639,15590,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,200,200,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),23213,16045,18890,11755,19746,4285,6250,7153,10369,
应收账款(万元),19838,17358,24193,15280,15652,16488,19922,20140,17261,
预付款项(万元),6481,5278,5469,4843,9462,1786,1340,1188,2043,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,1421,--,--,--,--,--,--,
其他应收款(万元),1945,1017,1322,483,657,739,868,909,261,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),142206,135160,114637,107546,70242,41152,24034,25341,29654,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),4108,6796,5695,5816,5501,5822,--,--,--,
流动资产合计(万元),233403,225351,192446,186529,147473,80789,57062,61569,75177,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),12909,12750,12045,13089,13239,11692,10092,9607,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,6572,--,7579,--,--,--,--,--,
累计折旧(万元),--,2222,--,2478,--,--,--,--,--,
固定资产净值(万元),--,4350,--,5101,--,--,--,--,--,
固定资产减值准备(万元),--,279,--,1082,--,--,--,--,--,
固定资产(万元),4163,4071,4005,4019,3197,3886,4557,3514,14239,
在建工程(万元),10128,9584,6973,4208,831,272,248,239,99,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),1646,1657,1689,1723,1743,1778,2934,2958,4245,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),41,40,32,29,27,35,54,71,197,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),2201,2199,3078,2942,2801,3085,2682,2826,2630,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,
