报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,
营业总收入(万元),38094,124278,65497,38084,83124,42074,34974,5902,39735,39988,
营业收入(万元),38094,124278,65497,38084,83124,42074,34974,5902,39735,39988,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),30896,98160,49130,30339,72422,38818,33303,4996,38477,40322,
营业成本(万元),23842,75051,38385,23227,53759,28931,24298,3589,25162,27516,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),300,1564,1339,1222,451,195,211,83,303,615,
销售费用(万元),1894,8854,4156,2251,9310,2599,2891,512,2489,1568,
管理费用(万元),3346,10909,3770,2287,6967,3252,6115,1495,5900,6823,
财务费用(万元),1196,2205,462,518,-1497,3,3,-20,243,262,
资产减值损失(万元),318,-424,1018,1283,3432,3838,-215,-664,4381,3539,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),159,1138,433,211,1436,1664,2019,708,399,281,
对联营企业和合营企业的投资收益(万元),159,1082,377,163,1397,1633,1977,708,353,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),8569,29304,16800,8182,12151,4919,3719,1614,1657,-53,
营业外收入(万元),50,124,604,17,1192,334,456,88,1172,1171,
营业外支出(万元),0,72,43,25,85,93,9,0,105,51,
非流动资产处置损失(万元),--,--,22,--,--,--,--,0,0,3,
利润总额(万元),8619,29357,17361,8173,13259,5160,4167,1702,2725,1067,
所得税费用(万元),1119,3953,2309,1274,1488,666,153,314,44,-217,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),7500,25404,15053,6899,11771,4495,4014,1387,2681,1284,
归属于母公司所有者的净利润(万元),7500,25404,15053,6899,11771,4495,4014,1387,2681,1284,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.31,1.06,0.63,0.29,0.49,0.19,0.17,0.06,0.11,0.05,
稀释每股收益,0.31,1.06,0.63,0.29,0.49,0.19,0.17,0.06,0.11,0.05,
