报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),65788,277839,120967,46936,229312,98963,151345,109337,113146,
营业收入(万元),65788,277839,120967,46936,229312,98963,151345,109337,113146,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),61161,250421,109337,43274,207977,89935,134077,97463,101798,
营业成本(万元),49680,207498,91231,35399,175822,75890,112117,80522,87736,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),163,1293,388,168,1899,1178,2326,2461,3579,
销售费用(万元),2584,9854,4559,1942,6994,2848,3615,2718,2262,
管理费用(万元),7343,26183,10097,4685,20001,8025,14875,10506,7044,
财务费用(万元),705,1758,733,290,623,206,493,779,386,
资产减值损失(万元),686,3835,2330,789,2638,1788,651,475,792,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),--,0,0,--,--,--,--,--,-3105,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),4660,28419,11659,3655,21335,9028,17268,11875,8243,
营业外收入(万元),2,113,200,113,883,89,172,523,709,
营业外支出(万元),2,6,106,0,79,45,43,37,234,
非流动资产处置损失(万元),--,--,103,--,29,20,18,10,13,
利润总额(万元),4660,28526,11753,3768,22139,9072,17397,12361,8718,
所得税费用(万元),745,4586,1578,589,4257,1486,2886,1713,1845,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),3915,23940,10175,3179,17882,7585,14511,10648,6873,
归属于母公司所有者的净利润(万元),3915,23940,10175,3179,17882,7585,14511,10648,6873,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,0.24,1.45,0.61,0.19,1.1,0.48,1.05,0.77,0.45,
稀释每股收益,0.24,1.45,0.61,0.19,1.1,0.48,1.05,0.77,0.45,
