报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),722141,863709,832376,882907,940462,1209042,1279707,1270746,868242,453317,
结算备付金(万元),265027,235022,202090,230088,280994,309696,215539,445562,262087,110484,
拆出资金(万元),--,4000,--,--,--,--,--,--,--,--,
交易性金融资产(万元),1134734,762250,757547,759154,699384,803710,704280,504513,409928,343899,
衍生金融资产(万元),5994,5994,--,--,4,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,
应收账款(万元),15032,10046,6095,5135,5262,4350,10102,2759,1741,1829,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),53000,44908,44784,43156,43880,39735,42499,25776,17400,8076,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),31478,26083,35180,34516,43171,49008,40922,42291,72740,41299,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),1015333,920702,972768,1161242,929521,591170,708741,682669,288971,79309,
存货(万元),--,--,--,--,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,294707,309026,308955,263242,258194,274680,244360,75124,42977,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),67554,50605,45257,30801,32561,37042,28975,10671,4968,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),2164,2188,2212,2235,2267,2295,2103,2123,2307,3082,
固定资产原值(万元),--,53274,--,52307,--,52385,51935,50453,--,--,
累计折旧(万元),--,30208,--,28831,--,28581,28173,26902,--,--,
固定资产净值(万元),--,23067,--,23476,--,23803,23763,23551,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),22636,23067,23115,23476,23653,23803,23767,23555,21705,22581,
在建工程(万元),855,754,417,407,407,405,184,54,10,45,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),15848,16439,15679,15118,15159,15556,14881,15596,15374,4681,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,
商誉(万元),2078,2136,2159,2190,2147,2147,2147,727,727,727,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
