 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),6438,28587,14556,8360,24187,25134,24532, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),401,1795,810,376,1279,1658,1367, 
 收到的其他与经营活动有关的现金(万元),1728,3044,2039,1289,174,297,322, 
 经营活动现金流入小计(万元),8566,33427,17405,10026,25640,27089,26221, 
 购买商品、接受劳务支付的现金(万元),5547,16326,6802,3482,10699,16430,16604, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1525,5009,2522,1415,4046,3972,3266, 
 支付的各项税费(万元),327,1149,614,185,1175,1374,1151, 
 支付的其他与经营活动有关的现金(万元),751,5236,3166,2195,2966,1648,1574, 
 经营活动现金流出小计(万元),8150,27721,13104,7278,18886,23424,22594, 
 经营活动产生的现金流量净额(万元),416,5706,4301,2748,6754,3665,3627, 
 收回投资所收到的现金(万元),--,--,--,--,8710,2180,--, 
 取得投资收益所收到的现金(万元),--,63,--,--,16,4,70, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,103,19,6,62,1,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,498,--,--,500,--,284, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),11,664,19,6,9289,2185,354, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),915,2518,1419,223,1270,889,1673, 
 投资所支付的现金(万元),--,--,--,--,8150,2740,254, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),71,103,50,50,998,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),985,2620,1469,273,10418,3629,1927, 
 投资活动产生的现金流量净额(万元),-975,-1956,-1450,-267,-1130,-1444,-1573, 
 吸收投资收到的现金(万元),24917,--,--,--,5674,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,3100,1600,--,9710,7956,5137, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,711,7773, 
 筹资活动现金流入小计(万元),24917,3100,1600,0,15384,8667,12910, 
 偿还债务支付的现金(万元),--,3250,1750,150,8460,6956,9475, 
