报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),73288,69449,87222,67964,58160,56101,78617,52317,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),--,119,--,20,40,--,--,--,
应收账款(万元),16764,13788,14729,17699,11367,11489,10802,6859,
预付款项(万元),1664,1067,1417,1761,1138,697,12634,8337,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),2611,4303,3830,3600,7396,2654,3400,3167,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),1413,1347,1200,2170,3193,1537,732,602,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),9989,7315,5655,5034,5134,4690,1775,--,
流动资产合计(万元),111862,103412,120301,102892,90464,83584,113196,74867,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),297024,285146,265961,254603,229635,203356,172071,124469,
长期股权投资(万元),--,--,350,350,350,350,350,350,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),2961,2799,--,--,2441,2137,--,--,
累计折旧(万元),1764,1677,--,--,1419,1183,--,--,
固定资产净值(万元),1197,1122,--,--,1022,954,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),1197,1122,1081,990,1022,954,665,706,
在建工程(万元),--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),244087,225096,215679,209514,187049,130412,159783,134577,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),4391,--,--,--,--,--,--,--,
长期待摊费用(万元),117,125,134,142,161,17,54,81,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),14954,14549,13987,13503,14013,10292,104,--,
其他非流动资产(万元),50631,51564,49644,46083,38560,19837,--,--,
非流动资产合计(万元),612401,577601,546835,525185,470789,365217,333026,260183,
资产总计(万元),724263,681014,667136,628076,561253,448801,446222,335050,
短期借款(万元),30747,31015,29098,29400,31000,25838,44500,28500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,
应付账款(万元),36285,48042,42817,39416,36448,22708,25137,15431,
预收账款(万元),50,87,973,2152,1692,2205,--,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2599,5276,2990,2957,4839,4531,2720,1913,
应交税费(万元),3665,3396,3525,4031,4573,3240,3323,1795,
应付利息(万元),2065,1055,1615,923,918,711,1155,358,
应付股利(万元),--,129,131,6039,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),8238,3885,3510,3226,3036,1758,2451,1771,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
