报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),2639,3000,3494,1750,3444,2081,1463,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),--,--,1,--,8,--,--,
应收账款(万元),6955,6271,6262,5348,4916,4564,4286,
预付款项(万元),528,258,352,267,119,263,331,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,18,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),162,333,250,159,243,143,204,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),7260,5781,5269,4158,5180,4802,3958,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),675,691,970,779,94,128,28,
流动资产合计(万元),18219,16333,16599,12462,14020,11981,10269,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),61,56,55,54,53,53,51,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,17547,--,13413,--,--,--,
累计折旧(万元),--,4353,--,3285,--,--,--,
固定资产净值(万元),--,13195,--,10128,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),12808,13195,13815,10128,6833,6505,6666,
在建工程(万元),205,91,21,3761,1319,188,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),1727,1739,1763,1785,1833,873,885,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),251,273,153,94,72,60,81,
其他非流动资产(万元),324,91,55,110,92,394,--,
非流动资产合计(万元),15377,15445,15862,15932,10202,8072,7683,
资产总计(万元),33596,31777,32461,28394,24221,20054,17953,
短期借款(万元),4062,4349,5370,5993,8856,6333,4763,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),2997,2954,3400,1688,1869,2450,1896,
应付账款(万元),4018,2790,3953,4528,2675,2167,2290,
预收账款(万元),197,158,178,199,242,202,172,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),120,412,348,575,375,364,271,
应交税费(万元),309,291,259,382,274,214,276,
应付利息(万元),25,23,11,17,25,13,27,
应付股利(万元),--,--,1223,--,--,--,940,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),63,39,60,82,71,93,150,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),20,20,10,--,--,--,2300,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),11810,11037,14813,13463,14387,11836,13087,
长期借款(万元),4132,4137,3202,1660,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),308,316,269,152,30,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),4440,4453,3471,1812,30,0,0,
负债合计(万元),16250,15490,18284,15275,14417,11836,13087,
实收资本(或股本)(万元),4894,4894,4894,4894,4894,4894,628,
资本公积(万元),743,743,743,743,708,637,336,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),1419,1419,971,971,608,284,1028,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),10240,9146,7410,6366,3564,2420,2870,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),17234,16186,14056,13019,9773,8218,4843,
少数股东权益(万元),112,101,120,100,32,--,22,
所有者权益(或股东权益)合计(万元),17346,16287,14177,13119,9805,8218,4866,
负债和所有者权益(或股东权益)总计(万元),33596,31777,32461,28394,24221,20054,17953,		
  
