报告日期,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),9730,7886,7143,6293,5245,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),6580,6386,4364,6465,1782,
应收账款(万元),11470,15206,12002,12609,11517,
预付款项(万元),430,137,512,252,306,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),177,143,124,978,895,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),5405,3659,3548,2914,4201,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),398,349,110,1220,85,
流动资产合计(万元),34190,33766,27803,30731,24031,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),355,355,355,355,355,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),--,14375,12421,--,--,
累计折旧(万元),--,5060,4137,--,--,
固定资产净值(万元),--,9316,8284,--,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),9175,9316,8284,6245,5404,
在建工程(万元),42,41,9,2610,548,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),3977,3959,1794,550,575,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),31,34,50,5,33,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),144,165,141,130,117,
其他非流动资产(万元),--,--,317,317,317,
非流动资产合计(万元),13724,13870,10949,10212,7348,
资产总计(万元),47914,47636,38752,40943,31379,
短期借款(万元),6925,6325,6682,7473,4660,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,4,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),1064,1328,1242,605,147,
应付账款(万元),2485,2759,2554,2631,3277,
预收账款(万元),126,15,42,9,61,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),566,851,673,923,830,
应交税费(万元),625,1215,963,2812,1567,
应付利息(万元),10,9,9,9,27,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),438,583,878,2471,3608,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),12240,13085,13044,16938,14178,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),68,82,139,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),56,59,68,77,86,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),124,141,207,77,86,
负债合计(万元),12364,13226,13251,17014,14264,
实收资本(或股本)(万元),7200,7200,7200,1500,1500,
资本公积(万元),14719,14719,14719,339,580,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),1409,1409,570,1612,1612,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),12014,10931,3008,20388,13656,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),35550,34410,25501,23883,17348,
少数股东权益(万元),--,--,--,46,-232,
所有者权益(或股东权益)合计(万元),35550,34410,25501,23929,17115,
负债和所有者权益(或股东权益)总计(万元),47914,47636,38752,40943,31379,		
  
