报告日期,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),22859,23060,17507,16660,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),--,--,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),--,--,--,--,
应收账款(万元),--,--,--,--,
预付款项(万元),985,805,842,616,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),--,--,--,--,
应收股利(万元),--,--,--,--,
其他应收款(万元),15,40,67,71,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),18119,19592,20961,17616,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,350,1021,
其他流动资产(万元),285,399,668,568,
流动资产合计(万元),78663,77285,66572,61697,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),--,--,--,--,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),--,--,--,--,
长期股权投资(万元),--,--,--,--,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),--,--,--,--,
固定资产原值(万元),3864,3659,2439,2395,
累计折旧(万元),1252,1104,814,607,
固定资产净值(万元),2612,2555,1624,1788,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),2612,2555,1624,1788,
在建工程(万元),66,163,612,50,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),4601,4814,5143,1552,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),115,173,182,502,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),1054,805,702,544,
其他非流动资产(万元),2,7,35,--,
非流动资产合计(万元),8451,8516,8298,4436,
资产总计(万元),87114,85802,74870,66133,
短期借款(万元),--,--,--,--,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),--,--,--,--,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),--,--,--,--,
应付账款(万元),--,--,--,--,
预收账款(万元),1073,729,1515,2207,
卖出回购金融资产款(万元),--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),565,481,361,257,
应交税费(万元),621,637,60,14,
应付利息(万元),--,--,--,--,
应付股利(万元),--,--,--,--,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),97,158,--,--,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),8802,9339,6775,6276,
长期借款(万元),--,--,--,--,
应付债券(万元),--,--,--,--,
长期应付款(万元),--,--,--,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,--,
长期递延收益(万元),--,--,--,--,
递延所得税负债(万元),--,--,--,--,
其他非流动负债(万元),--,--,--,--,
非流动负债合计(万元),0,0,0,0,
负债合计(万元),8802,9339,6775,6276,
实收资本(或股本)(万元),8800,8800,8800,8800,
资本公积(万元),10253,10253,10253,10253,
减:库存股(万元),--,--,--,--,
专项储备(万元),1420,1294,1062,831,
盈余公积(万元),5016,5016,5016,5016,
一般风险准备(万元),--,--,--,--,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),52822,51100,42964,34956,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),78312,76463,68095,59857,
少数股东权益(万元),--,--,--,--,
所有者权益(或股东权益)合计(万元),78312,76463,68095,59857,
负债和所有者权益(或股东权益)总计(万元),87114,85802,74870,66133,		
  
