 报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),73024,46866,25214,16067,2760, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),273,22,304,111,--, 
 收到的其他与经营活动有关的现金(万元),5081,2159,1448,1007,297, 
 经营活动现金流入小计(万元),78378,49047,26966,17184,3056, 
 购买商品、接受劳务支付的现金(万元),35208,23901,20146,11766,1928, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9683,6372,4873,2749,349, 
 支付的各项税费(万元),8744,4231,865,577,315, 
 支付的其他与经营活动有关的现金(万元),4382,2255,1514,1681,2371, 
 经营活动现金流出小计(万元),58017,36759,27398,16773,4962, 
 经营活动产生的现金流量净额(万元),20362,12288,-432,412,-1906, 
 收回投资所收到的现金(万元),--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),40,18,0,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),40,18,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3141,1803,4584,3373,269, 
 投资所支付的现金(万元),--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),3141,1803,4584,3373,269, 
 投资活动产生的现金流量净额(万元),-3101,-1784,-4584,-3373,-269, 
 吸收投资收到的现金(万元),0,399,1800,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),5700,9400,5000,3500,--, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),5724,40,1060,235,--, 
 筹资活动现金流入小计(万元),11424,9839,7860,3735,0, 
 偿还债务支付的现金(万元),11400,10700,2000,500,--, 
 分配股利、利润或偿付利息所支付的现金(万元),1681,861,1011,527,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),6109,5750,0,0,--, 
 筹资活动现金流出小计(万元),19190,17311,3011,1027,0, 
 筹资活动产生的现金流量净额(万元),-7766,-7472,4849,2708,0, 
 汇率变动对现金及现金等价物的影响(万元),-54,12,9,1,1, 
 现金及现金等价物净增加额(万元),9441,3043,-159,-253,-2174, 
 加:期初现金及现金等价物余额(万元),7042,3999,4158,3917,2713, 
 期末现金及现金等价物余额(万元),16483,7042,3999,3665,538, 
 净利润(万元),27959,8832,2374,1343,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),1039,273,303,122,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1767,1474,979,271,--, 
 无形资产摊销(万元),349,389,225,225,--, 
 长期待摊费用摊销(万元),51,53,87,77,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-4,8,39,0,--, 
 固定资产报废损失(万元),15,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),238,336,320,13,--, 
 投资损失(万元),--,--,--,--,--, 
 递延所得税资产减少(万元),-568,-165,-95,-66,--, 
 递延所得税负债增加(万元),95,83,55,31,--, 
 存货的减少(万元),-7584,-1893,-1328,-3323,--, 
 经营性应收项目的减少(万元),-12783,-12779,-11656,-10453,--, 
 经营性应付项目的增加(万元),9789,15609,8266,12171,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,66,--,0,--, 
 经营活动产生现金流量净额(万元),20362,12288,-432,412,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),16483,7042,3999,3665,538, 
 现金的期初余额(万元),7042,3999,4158,3917,2713, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),9441,3043,-159,-253,-2174, 

