报告日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,
营业总收入(万元),47847,69473,30885,50612,24811,11083,36559,16280,21793,8803,11420,9106,
营业收入(万元),47847,69473,30885,50612,24811,11083,36559,16280,21793,8803,11420,9106,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),36076,52674,22796,34815,16268,7228,25056,11091,17075,6816,9716,7668,
营业成本(万元),27700,38247,16588,25374,11927,5361,19049,8828,13362,5445,7312,5812,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),2116,3102,--,2495,--,--,1569,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),432,797,369,621,234,87,265,128,127,47,78,65,
销售费用(万元),2993,5373,2632,4046,1894,826,2374,867,1314,503,720,501,
管理费用(万元),2756,3713,2798,2534,2366,940,2236,1427,2154,805,1394,1206,
财务费用(万元),-171,570,184,-711,-237,-14,-363,-80,76,14,93,53,
资产减值损失(万元),249,872,225,456,85,28,-74,-79,42,2,119,31,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,35,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),12625,18599,8457,15799,8542,3855,11534,5190,4718,1987,1705,1437,
营业外收入(万元),22,205,92,594,154,91,304,44,224,85,120,57,
营业外支出(万元),3,21,3,1003,32,14,98,36,42,10,15,11,
非流动资产处置损失(万元),--,--,0,--,--,1,--,--,42,--,1,--,
利润总额(万元),12643,18784,8546,15390,8665,3931,11740,5198,4900,2062,1809,1483,
所得税费用(万元),2084,3002,1311,2484,1400,594,1801,784,807,247,217,189,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),10559,15782,7235,12906,7265,3337,9939,4414,4093,1815,1592,1294,
归属于母公司所有者的净利润(万元),10559,15782,7235,12906,7265,3337,9939,4414,4093,1815,1592,1294,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,1.17,1.74,0.8,1.43,0.81,0.38,1.18,0.53,1,0.44,0.39,0.36,
稀释每股收益,1.17,1.74,0.8,1.43,0.81,0.38,1.18,0.53,1,--,0.39,0.36,
