报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),27439,10490,57043,28336,11595,2827,19842,17815,22553,15179,15062,11948,8906,
营业收入(万元),27439,10490,57043,28336,11595,2827,19842,17815,22553,15179,15062,11948,8906,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),22470,9224,47435,24528,11494,3602,16661,14648,16209,9687,10089,8294,6195,
营业成本(万元),17388,6321,36266,18464,7804,2046,10870,8208,9802,6152,5903,5012,3459,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),434,214,327,179,128,74,215,187,231,121,200,140,92,
销售费用(万元),1243,486,1971,1132,761,370,1632,1740,1497,1044,871,865,656,
管理费用(万元),3191,1553,7134,4106,2586,1139,4055,4875,4645,2403,2986,2205,1919,
财务费用(万元),452,616,1030,452,192,-27,-206,-401,16,-23,44,26,59,
资产减值损失(万元),-238,33,707,196,23,--,94,40,18,-11,84,48,10,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),66,30,30,30,28,14,318,334,249,159,75,109,36,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5040,1301,9632,3839,130,-761,3499,3500,6592,5651,5048,3763,2747,
营业外收入(万元),30,280,12,12,2,3,797,364,88,85,25,143,159,
营业外支出(万元),21,0,22,10,10,2,16,26,2,2,8,9,37,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),5049,1581,9622,3841,121,-760,4280,3838,6678,5735,5064,3896,2869,
所得税费用(万元),687,245,1388,857,147,-1,530,469,1155,881,714,553,396,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4361,1336,8234,2984,-26,-759,3751,3369,5523,4854,4350,3344,2473,
归属于母公司所有者的净利润(万元),4320,1319,8224,2971,-42,-756,3687,3369,5523,4854,4351,3344,2480,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),41,17,10,13,17,-3,63,--,-0,-0,-0,--,-7,
基本每股收益,0.5,0.15,1.26,0.46,-0.01,-0.09,0.57,0.52,0.89,0.79,0.73,0.56,1.82,
稀释每股收益,0.5,0.15,1.26,0.46,-0.01,-0.09,0.57,0.52,0.89,0.79,0.73,0.56,1.82,
