 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),13278,89126,65883,43073,21252,82013,59692,38237,16976,18013, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1571,9704,6644,4318,1623,5560,3838,3641,1433,1091, 
 收到的其他与经营活动有关的现金(万元),254,1392,969,931,226,416,421,560,329,283, 
 经营活动现金流入小计(万元),15102,100222,73496,48322,23100,87989,63950,42438,18739,19387, 
 购买商品、接受劳务支付的现金(万元),10818,63032,49196,35472,15812,53570,37283,32311,11109,9950, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5466,14961,11153,7996,5443,10433,8101,6208,4521,3947, 
 支付的各项税费(万元),1288,4909,3570,2277,1461,6319,4692,3204,1663,935, 
 支付的其他与经营活动有关的现金(万元),1139,9040,7073,4460,251,10703,8112,6950,3125,2683, 
 经营活动现金流出小计(万元),18711,91942,70992,50205,22967,81025,58189,48673,20418,17514, 
 经营活动产生的现金流量净额(万元),-3608,8281,2504,-1883,133,6964,5761,-6235,-1680,1873, 
 收回投资所收到的现金(万元),61164,15784,--,--,0,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),252,12,0,0,0,1,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,8,8,0,--,1,1,--,--,10, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,1515,1292,1292,--,1646,1646,607,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),61415,17319,1300,1292,0,1648,1648,607,0,10, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5910,21260,11014,7564,2745,8270,7104,4615,3728,3849, 
 投资所支付的现金(万元),50950,74784,--,--,0,--,--,--,87,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
