报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),7919,37388,282,26200,19015,10975,
营业收入(万元),7919,37388,282,26200,19015,10975,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),4989,23743,1697,20750,16979,9771,
营业成本(万元),2705,12257,115,11255,9129,7889,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),183,712,7,261,237,71,
销售费用(万元),415,2963,378,1574,872,154,
管理费用(万元),1703,7227,1263,7783,6771,1272,
财务费用(万元),26,2,-17,-16,-36,0,
资产减值损失(万元),-45,583,-49,-108,5,386,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),--,124,--,7,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),3540,14678,-1039,5456,2036,1204,
营业外收入(万元),530,1642,47,1580,1006,158,
营业外支出(万元),30,4,--,20,61,13,
非流动资产处置损失(万元),--,--,--,--,--,--,
利润总额(万元),4040,16317,-992,7016,2982,1348,
所得税费用(万元),625,2418,24,1530,1630,380,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),3414,13899,-1016,5486,1351,967,
归属于母公司所有者的净利润(万元),3414,13899,-1016,5486,1351,967,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,
基本每股收益,0.65,2.64,-0.19,1.07,0.39,0.48,
稀释每股收益,0.65,2.64,-0.19,1.07,0.39,0.48,
