 报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),13471,37175,1656,29436,24947,6075, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),609,910,376,24,--,--, 
 收到的其他与经营活动有关的现金(万元),622,1911,202,1722,882,190, 
 经营活动现金流入小计(万元),14703,39996,2234,31183,25829,6265, 
 购买商品、接受劳务支付的现金(万元),7390,20844,5859,11320,12198,3597, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1537,4747,1497,2873,1648,290, 
 支付的各项税费(万元),3693,7868,1191,4788,2379,259, 
 支付的其他与经营活动有关的现金(万元),681,4171,757,3417,3442,1382, 
 经营活动现金流出小计(万元),13302,37629,9304,22397,19668,5527, 
 经营活动产生的现金流量净额(万元),1401,2367,-7070,8786,6161,737, 
 收回投资所收到的现金(万元),--,3000,--,500,--,--, 
 取得投资收益所收到的现金(万元),--,124,--,7,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,1951,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,100,--,1200,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,3224,0,1707,1951,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),196,1905,731,7037,724,159, 
 投资所支付的现金(万元),3000,--,--,3500,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3196,1905,731,10537,724,159, 
 投资活动产生的现金流量净额(万元),-3196,1319,-731,-8831,1227,-159, 
 吸收投资收到的现金(万元),--,--,--,5000,3000,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,6099,--,--,2100,--, 
