报告日期,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),16221,30661,25407,25022,
营业收入(万元),16221,30661,25407,25022,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),9462,17295,12565,12814,
营业成本(万元),4570,9824,6479,6425,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),880,2376,1194,938,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),115,70,43,9,
销售费用(万元),403,728,492,296,
管理费用(万元),1959,3702,3377,3307,
财务费用(万元),-136,-233,-116,-18,
资产减值损失(万元),1673,828,1097,1856,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),--,83,159,261,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),6759,13499,13007,12471,
营业外收入(万元),1,100,0,--,
营业外支出(万元),--,0,1,0,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),6759,13599,13007,12471,
所得税费用(万元),1077,1943,1919,1892,
未确认投资损失(万元),--,--,--,--,
净利润(万元),5682,11656,11088,10579,
归属于母公司所有者的净利润(万元),5682,11656,11088,10579,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),--,--,--,--,
基本每股收益,0.65,1.32,1.26,1.2,
稀释每股收益,0.65,1.32,1.26,1.2,
