 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),57053,36095,73825,45782,72160,79077,61440,61895,60563, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2015,1576,1537,1102,532,--,511,505,894, 
 收到的其他与经营活动有关的现金(万元),637,341,1706,1294,767,610,3486,16427,19294, 
 经营活动现金流入小计(万元),59705,38013,77068,48178,73459,79688,65437,78826,80751, 
 购买商品、接受劳务支付的现金(万元),35527,22613,44750,29459,43393,67346,47649,48502,48473, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4560,2944,4685,3355,3815,3520,3222,2525,2054, 
 支付的各项税费(万元),9110,5786,8917,6154,3707,5585,4513,5162,4195, 
 支付的其他与经营活动有关的现金(万元),2711,1717,2945,2438,2080,1708,3207,6954,19633, 
 经营活动现金流出小计(万元),51909,33061,61297,41406,52995,78159,58591,63143,74355, 
 经营活动产生的现金流量净额(万元),7796,4952,15771,6771,20463,1528,6847,15683,6395, 
