报告日期,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),19543,15993,23612,11973,13952,17119,12055,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),1770,2001,1446,2791,885,722,247,
应收账款(万元),74670,61010,51685,46839,33324,24742,21965,
预付款项(万元),5931,1922,1177,5249,1612,1140,517,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),1416,2760,1259,914,539,415,505,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),35385,33139,21184,23217,18922,14678,9312,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,
流动资产合计(万元),138715,116824,100363,90984,69235,58815,44602,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,1358,28,94,84,--,0,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),7744,--,--,--,--,--,--,
固定资产原值(万元),49167,45054,--,36901,29617,15928,10320,
累计折旧(万元),21789,18221,--,13264,8239,4134,2463,
固定资产净值(万元),27378,26833,--,23637,21378,11794,7858,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),27378,26833,24883,23637,21378,11794,7858,
在建工程(万元),1283,980,1002,1160,1272,--,0,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
