报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,
营业总收入(万元),93108,401153,312370,216308,98711,303812,346129,157206,471528,201316,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,
利息收入(万元),9086,117230,18844,56215,6457,28112,23224,20225,84994,36102,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),34786,178236,123825,77258,34210,172065,196569,86700,307164,140278,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),160,927,2138,1177,449,842,860,328,1510,789,
营业总成本(万元),52174,219913,166532,113196,51800,148895,182092,81237,222159,109541,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,
利息支出(万元),--,90986,--,43727,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),45,180,134,89,45,220,131,53,224,217,
营业税金及附加(万元),361,2001,1273,842,435,8145,9888,7203,29014,11972,
销售费用(万元),52052,208223,159137,108012,51676,143825,174447,76111,185906,99857,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,
资产减值损失(万元),-283,9509,5988,4254,-355,-3294,-2374,-2129,7015,-2506,
公允价值变动收益(万元),6996,-9501,6174,1852,-1014,-14085,3287,-6121,7376,1515,
投资收益(万元),41894,203521,161449,123539,58608,116616,122081,56013,70248,22620,
对联营企业和合营企业的投资收益(万元),12864,49472,40363,27249,15734,21024,24695,9256,12213,3382,
汇兑收益(万元),-75,-78,-60,-7,3,263,109,61,235,12,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),11275,67426,43625,27283,12397,--,63117,--,--,19139,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),40934,181240,145837,103111,46911,154917,164037,75969,249369,91776,
营业外收入(万元),19,731,2093,1598,318,366,363,223,31464,830,
营业外支出(万元),24,977,747,497,10,823,661,130,458,808,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,
利润总额(万元),40929,180994,147183,104212,47219,154460,163739,76062,280376,91798,
所得税费用(万元),4974,33313,28879,24493,8742,32178,27143,15527,67185,20888,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),35954,147681,118304,79719,38477,122282,136596,60535,213191,70910,
归属于母公司所有者的净利润(万元),35928,150393,120970,82085,38492,122282,137416,60535,213191,70910,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),27,-2712,-2666,-2366,-15,--,-819,--,--,--,
基本每股收益,0.09,0.45,0.37,0.25,0.11,--,0.43,--,--,--,
稀释每股收益,0.09,0.45,0.37,0.25,0.11,--,0.43,--,--,--,
