报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),5862,6784,11292,12666,7007,3484,5402,6055,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),--,520,--,15,24,31,643,--,
应收账款(万元),27983,27512,23494,16022,20773,2202,2392,1712,
预付款项(万元),3782,1964,1578,1319,3297,3908,2996,3543,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),372,372,672,384,--,192,374,--,
其他应收款(万元),629,551,521,448,615,8859,1163,5849,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),3085,1957,2672,2638,4163,6355,7888,7977,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),59,--,--,--,--,--,--,--,
其他流动资产(万元),233,193,402,1926,1654,550,273,2718,
流动资产合计(万元),42006,39853,40631,35419,37532,25581,21131,27853,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,413,476,710,893,857,694,867,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),57339,55844,46499,37625,31218,26637,24030,15651,
累计折旧(万元),15310,13885,12445,9664,7770,5726,3901,2641,
固定资产净值(万元),42028,41959,34054,27961,23448,20911,20129,13010,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),42028,41959,34054,27961,23448,20911,20129,13010,
在建工程(万元),2760,2500,7332,5583,1938,2345,1981,660,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),12241,12326,12491,12815,11475,11763,12062,7751,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),100,--,--,--,--,38,38,38,
长期待摊费用(万元),--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),1817,1897,2052,1541,1017,492,217,171,
其他非流动资产(万元),9587,10113,9332,9200,6300,5000,6000,2500,
非流动资产合计(万元),68534,69208,65737,57810,45071,41406,41121,24996,
资产总计(万元),110540,109061,106369,93229,82603,66987,62252,52849,
短期借款(万元),6800,6800,7800,15700,16000,6000,9000,10800,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,2600,580,--,--,--,--,--,
应付账款(万元),5100,3940,4424,3654,2767,3670,3506,1235,
预收账款(万元),1895,1217,919,606,412,1504,1135,787,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),761,752,822,378,358,273,197,136,
应交税费(万元),1615,2164,2854,1566,826,1535,1208,1921,
应付利息(万元),--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),293,233,318,293,318,507,300,1344,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),47,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),16512,17707,17718,22198,20681,13489,15346,16223,
