报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),371164,1999686,629470,145439,1487899,570288,86679,
营业收入(万元),371164,1999686,629470,145439,1487899,570288,86679,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),335370,1687526,548418,155197,1158474,465816,86652,
营业成本(万元),249564,1274019,393460,90526,837680,349920,64373,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),1479,9590,2403,441,10922,3963,1,
销售费用(万元),14775,79577,26940,7463,63219,33092,4329,
管理费用(万元),56503,295649,115884,53843,215223,62058,15232,
财务费用(万元),277,4217,4813,2924,8044,10919,2457,
资产减值损失(万元),12772,24474,4918,--,23386,5864,259,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),2797,134431,124599,8517,7608,146,1612,
对联营企业和合营企业的投资收益(万元),1204,-4998,-1318,-1298,2167,-966,1302,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),53989,483202,232866,-1274,321212,104559,1638,
营业外收入(万元),345,1866,698,4314,18897,7119,4622,
营业外支出(万元),233,258,283,3,88,1675,17,
非流动资产处置损失(万元),--,--,228,--,--,--,10,
利润总额(万元),54101,484810,233282,3037,340021,110003,6243,
所得税费用(万元),7174,65404,31207,1388,48178,14945,687,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),46926,419406,202074,1650,291844,95058,5556,
归属于母公司所有者的净利润(万元),41335,387795,185694,-1169,285182,93065,5443,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),5592,31610,16381,3599,6662,1993,114,
基本每股收益,0.21,2.01,0.97,-0.02,1.87,0.78,--,
稀释每股收益,--,--,--,--,--,--,--,
