报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2010-12-31,
货币资金(万元),16634,12892,4201,4102,538,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),14444,3152,1800,684,749,
应收账款(万元),5095,4344,8259,5574,963,
预付款项(万元),1423,636,495,465,78,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,47,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),96,144,54,113,2421,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),19696,12111,10547,9325,757,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),356,513,387,127,--,
流动资产合计(万元),57743,33791,25742,20390,5552,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),430,449,467,0,--,
固定资产原值(万元),19393,17063,--,--,--,
累计折旧(万元),4788,3150,--,--,--,
固定资产净值(万元),14605,13912,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),14605,13912,13621,2487,1014,
在建工程(万元),0,9,7,4277,--,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),2828,3079,1563,1760,1252,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),160,183,192,81,57,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),916,348,183,88,21,
其他非流动资产(万元),--,--,--,--,--,
非流动资产合计(万元),18940,17980,16034,8692,2344,
资产总计(万元),76684,51771,41776,29081,7896,
短期借款(万元),0,5700,1000,500,--,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),0,0,1030,3310,--,
应付账款(万元),7428,7909,8053,5018,351,
预收账款(万元),4916,711,955,341,21,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),2294,1608,856,546,33,
应交税费(万元),4464,1272,1000,149,105,
应付利息(万元),0,3,9,4,--,
应付股利(万元),0,0,39,17,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),150,146,1882,20,1,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),0,0,4000,0,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),19251,17350,18824,9904,511,
长期借款(万元),0,0,2000,3000,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,86,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),4533,2198,1385,516,--,
递延所得税负债(万元),263,168,85,31,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),4797,2367,3470,3547,86,
负债合计(万元),24048,19716,22294,13451,597,
实收资本(或股本)(万元),9600,9600,9600,8707,6000,
资本公积(万元),4226,8463,6090,2034,100,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),3989,1291,392,590,126,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),33622,10043,2519,4300,1073,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),51438,29397,18600,15630,7299,
少数股东权益(万元),1199,2657,882,--,--,
所有者权益(或股东权益)合计(万元),52636,32054,19482,15630,7299,
负债和所有者权益(或股东权益)总计(万元),76684,51771,41776,29081,7896,		
  
