报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),36143,54574,18940,13938,16720,16710,7683,8109,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),2148,1768,1238,2238,1628,981,1654,1880,
应收账款(万元),14703,22621,17455,14773,12978,16190,14301,18831,
预付款项(万元),199,9,509,465,133,319,543,242,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),157,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),1006,1290,741,1100,956,4157,1287,1605,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),17436,18424,14933,15847,12463,11030,10928,10616,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),575,566,--,--,--,--,--,--,
其他流动资产(万元),368,645,470,356,3038,14,686,--,
流动资产合计(万元),72735,99897,54285,48717,47916,49402,37081,41283,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,1117,1100,1637,1604,2868,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,2147,
固定资产原值(万元),--,43540,41576,32077,--,--,--,--,
累计折旧(万元),--,12423,11521,10687,--,--,--,--,
固定资产净值(万元),--,31117,30056,21390,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),32624,31117,30056,21390,21175,21332,25388,25896,
在建工程(万元),749,240,--,7467,174,320,--,390,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),3702,3752,3852,3901,4020,4080,4152,4457,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),307,307,343,344,319,322,372,428,
其他非流动资产(万元),10284,175,135,140,179,--,1612,1612,
非流动资产合计(万元),47666,35590,35503,34342,27504,27658,34392,34929,
资产总计(万元),120401,135487,89788,83059,75420,77060,71473,76212,
短期借款(万元),12171,16175,18342,14132,13268,13934,26849,13749,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,
应付账款(万元),15688,22668,17050,18355,12548,13245,11058,14101,
预收账款(万元),698,731,1246,1138,1017,1004,1849,1450,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1547,3014,1900,2544,1499,1801,1533,1607,
应交税费(万元),549,1325,1385,934,703,2070,625,545,
应付利息(万元),36,51,128,14,76,49,173,--,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
