 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),13066,69684,52676,34911,17611,61029,42304,52873,23270,47765,39387,34824, 
 客户存款和同业存放款项净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,0,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1005,5035,3660,2019,549,5322,3708,3963,1668,3090,3223,2378, 
 收到的其他与经营活动有关的现金(万元),992,5908,3575,2181,1230,3754,735,2735,1472,9263,7930,4642, 
 经营活动现金流入小计(万元),15063,80627,59911,39111,19390,70105,46747,59572,26410,60118,50539,41844, 
 购买商品、接受劳务支付的现金(万元),12148,44506,34643,21387,9603,37162,25568,34398,15284,34493,27248,23689, 
 客户贷款及垫款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4336,13655,10183,7142,4476,12202,8553,9768,4986,8540,7386,6469, 
 支付的各项税费(万元),1667,4100,3267,2368,1372,3487,2503,2182,1160,1352,1596,1352, 
 支付的其他与经营活动有关的现金(万元),1767,8512,6654,4017,2062,8389,2928,7335,2973,11132,12087,8024, 
 经营活动现金流出小计(万元),19919,70773,54747,34913,17513,61239,39552,53681,24402,55517,48317,39534, 
 经营活动产生的现金流量净额(万元),-4855,9854,5164,4198,1877,8866,7195,5890,2007,4601,2222,2310, 
 收回投资所收到的现金(万元),--,0,--,--,--,--,1000,902,102,--,101,100, 
 取得投资收益所收到的现金(万元),144,0,--,--,--,16,8,6,--,--,--,14, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,1,1,1,1,7,0,2,--,54,0,1881, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),1000,0,--,--,--,1300,--,0,--,600,200,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1144,1,1,1,1,1323,1009,911,102,654,301,1995, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1419,2823,1572,1261,686,2528,1676,5235,4552,4659,3259,1756, 
 投资所支付的现金(万元),--,0,--,--,--,140,--,750,50,100,80,1, 
 质押贷款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,--,--,--,--,--,33,33,--,61,--, 
 支付的其他与投资活动有关的现金(万元),--,29000,--,--,--,1300,1000,--,--,49,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1419,31823,1572,1261,686,3968,2676,6017,4635,4808,3401,1757, 
 投资活动产生的现金流量净额(万元),-275,-31822,-1571,-1260,-685,-2645,-1668,-5106,-4533,-4155,-3100,238, 
 吸收投资收到的现金(万元),--,37360,37348,--,--,--,--,100,100,15,4138,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,0,--,--,--,--,--,100,--,15,--,--, 
 取得借款收到的现金(万元),3890,7321,7274,4376,4284,7605,7393,13671,6600,12028,12170,9400, 
 发行债券收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,0,-29,--,--,--,--,870,870,1130,1565,--, 
 筹资活动现金流入小计(万元),3890,44681,44593,4376,4284,7605,7393,14641,7570,13173,17873,9400, 
 偿还债务支付的现金(万元),3779,9444,7515,4289,2605,11435,8833,8036,1000,11532,10300,10000, 
 分配股利、利润或偿付利息所支付的现金(万元),88,3263,3151,3019,2890,2261,2118,2180,1748,2018,6762,1009, 
 其中：子公司支付给少数股东的股利、利润(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),46,1980,751,479,239,960,1060,1060,627,1157,258,434, 
 筹资活动现金流出小计(万元),3912,14687,11418,7787,5734,14656,12011,11277,3375,14707,17320,11443, 
 筹资活动产生的现金流量净额(万元),-22,29994,33175,-3412,-1450,-7051,-4618,3365,4195,-1534,553,-2043, 
 汇率变动对现金及现金等价物的影响(万元),-344,-388,-257,-118,-23,117,-1066,428,263,90,-51,-2, 
 现金及现金等价物净增加额(万元),-5496,7637,36511,-592,-281,-713,-158,4576,1932,-996,-375,502, 
 加:期初现金及现金等价物余额(万元),13071,5434,5434,5434,5434,6147,7117,1571,1571,2567,2942,2440, 
 期末现金及现金等价物余额(万元),7575,13071,41945,4842,5152,5434,6959,6147,3503,1571,2567,2942, 
 净利润(万元),--,6008,--,2393,--,7459,--,3634,--,2784,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1060,--,776,--,238,--,355,--,97,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1526,--,779,--,1458,--,1419,--,1135,--,--, 
 无形资产摊销(万元),--,66,--,32,--,71,--,54,--,58,--,--, 
 长期待摊费用摊销(万元),--,256,--,122,--,413,--,216,--,63,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-3,--,5,--,48,--,56,--,-32,--,--, 
 固定资产报废损失(万元),--,9,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,9,--,604,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,542,--,291,--,733,--,915,--,799,--,--, 
