 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),18113,69095,45652,32936,12763,50465,37846,51993,25193,52249,40015,35439, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),221,902,1066,449,464,2415,2205,228,61,376,548,537, 
 经营活动现金流入小计(万元),18334,69997,46717,33386,13227,52880,40051,52221,25254,52625,40562,35976, 
 购买商品、接受劳务支付的现金(万元),10346,28675,22001,13718,8142,22496,15672,22734,12090,24706,18878,17896, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3780,10895,8193,5740,3015,9385,6601,9802,4805,8215,6932,5551, 
 支付的各项税费(万元),2374,6835,5383,3493,998,4625,4399,5711,3082,6973,4875,4851, 
 支付的其他与经营活动有关的现金(万元),585,3315,1874,1488,648,2656,1924,2758,1296,2059,1975,1695, 
 经营活动现金流出小计(万元),17084,49721,37451,24439,12803,39162,28596,41006,21274,41954,32661,29993, 
 经营活动产生的现金流量净额(万元),1250,20276,9266,8947,424,13718,11455,11215,3980,10672,7901,5983, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),21,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,23,12,5,4,21,90,26,6,59,11,140, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,530,--,--,--,208,180,3728,1390,7460,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),21,553,12,5,4,229,270,3754,1396,7519,11,140, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7312,26048,15369,11501,5327,20588,13547,13961,4838,13198,598,2368, 
 投资所支付的现金(万元),--,1020,1020,1020,1020,1020,1020,--,--,--,2,10, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),25000,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),32312,27068,16389,12521,6347,21608,14567,13961,4838,13198,600,2378, 
 投资活动产生的现金流量净额(万元),-32290,-26515,-16377,-12516,-6342,-21378,-14297,-10206,-3442,-5679,-589,-2238, 
 吸收投资收到的现金(万元),--,56214,--,--,--,2940,1588,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,2940,--,--,--,--,--,--, 
 取得借款收到的现金(万元),3467,19271,17060,6277,4884,6685,4085,4133,966,8479,6727,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,327,1276,1104,270,158,--,--,2161,--,--, 
 筹资活动现金流入小计(万元),3467,75486,17387,7552,5988,9895,5831,4133,966,10640,6727,0, 
 偿还债务支付的现金(万元),1804,2919,3193,1521,691,2573,2325,1939,31,12052,3875,1000, 
 分配股利、利润或偿付利息所支付的现金(万元),255,623,436,215,39,163,135,15,11,4093,7861,1372, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1107,2084,30,30,--,693,106,1360,393,--,2994,279, 
 筹资活动现金流出小计(万元),3165,5626,3659,1766,729,3429,2566,3313,435,16146,14730,2651, 
 筹资活动产生的现金流量净额(万元),302,69859,13728,5786,5259,6466,3266,820,531,-5506,-8003,-2651, 
 汇率变动对现金及现金等价物的影响(万元),6,-32,-75,-68,-4,-37,-1,-96,34,42,--,--, 
 现金及现金等价物净增加额(万元),-30733,63589,6543,2149,-664,-1232,424,1733,1104,-472,-691,1094, 
 加:期初现金及现金等价物余额(万元),65810,2221,2221,2221,2221,3453,3453,1720,1720,2192,2883,1789, 
 期末现金及现金等价物余额(万元),35077,65810,8765,4371,1557,2221,3877,3453,2824,1720,2192,2883, 
 净利润(万元),--,15312,--,7954,--,13663,--,11297,6784,14009,10664,9514, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,400,--,102,--,142,--,30,126,-96,205,149, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,6260,--,2918,--,3941,--,2664,1291,2302,2168,1657, 
 无形资产摊销(万元),--,98,--,48,--,151,--,96,72,99,96,92, 
 长期待摊费用摊销(万元),--,57,--,23,--,40,--,8,4,8,39,70, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,26,--,-6,--,133,--,70,6,53,152,-82, 
 固定资产报废损失(万元),--,6,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,678,--,242,--,191,--,128,-23,229,211,216, 
 投资损失(万元),--,130,--,143,--,371,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-128,--,-20,--,30,--,-105,-107,-208,33,90, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-3692,--,-2573,--,481,--,-4282,-2917,-1189,-1825,-2472, 
 经营性应收项目的减少(万元),--,-9917,--,-1645,--,-7756,--,-1272,-2574,-6280,-6325,-6976, 
 经营性应付项目的增加(万元),--,11070,--,1774,--,2466,--,2583,1318,1744,2484,3724, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,-24,--,-12,--,-136,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,20276,--,8947,--,13718,--,11215,3980,10672,7901,5983, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),35077,65810,8765,4371,1557,2221,3877,3453,2824,1720,2192,2883, 
 现金的期初余额(万元),65810,2221,2221,2221,2221,3453,3453,1720,1720,2192,2883,1789, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-30733,63589,6543,2149,-664,-1232,424,1733,1104,-472,-691,1094, 

