报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),111883,429223,307573,202708,93825,376886,272861,409380,386939,353283,191262,92166,87866,
营业收入(万元),111883,429223,307573,202708,93825,376886,272861,409380,386939,353283,191262,92166,87866,
利息收入(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
已赚保费(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),98348,371714,261625,171194,83409,322220,229359,359193,336910,306714,165258,78599,79706,
营业成本(万元),91238,342509,241174,158115,77318,295357,209753,327387,306510,278891,153157,67381,69110,
利息支出(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
退保金(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
赔付支出净额(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
保单红利支出(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
分保费用(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),331,1956,1520,1040,388,2314,1604,2785,2378,1879,884,407,424,
销售费用(万元),1919,7902,5630,3696,1818,7437,5441,7663,7487,6696,3178,3201,2360,
管理费用(万元),3704,14311,9768,6271,2892,12806,9139,12783,12617,12812,6076,5754,4612,
财务费用(万元),1156,5141,3883,2421,1011,4586,3593,5839,7784,6503,1867,1823,3160,
资产减值损失(万元),-0,-106,-349,-349,-18,-279,-171,2736,133,-67,97,33,39,
公允价值变动收益(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
投资收益(万元),0,2784,2784,2769,0,3198,3042,8219,3320,2709,2783,2027,624,
对联营企业和合营企业的投资收益(万元),0,--,--,--,0,--,--,--,--,--,69,420,83,
汇兑收益(万元),0,--,--,--,0,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),13648,60420,48734,34285,10416,57864,46544,58406,53349,49278,28787,15594,8785,
营业外收入(万元),569,299,258,119,14,470,199,2092,106,348,39,54,9,
营业外支出(万元),99,461,202,-33,33,836,258,230,514,662,312,217,55,
非流动资产处置损失(万元),--,--,238,58,--,302,221,190,355,612,301,127,48,
利润总额(万元),14119,60258,48790,34437,10397,57497,46485,60269,52941,48963,28514,15431,8739,
所得税费用(万元),3663,14742,11703,8085,2642,13746,10917,14122,12558,12816,6571,2381,1321,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),10456,45516,37087,26352,7755,43751,35568,46147,40383,36147,21943,13050,7418,
归属于母公司所有者的净利润(万元),8255,34741,27724,19480,5613,33714,27487,36918,30539,26837,18197,11352,6751,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,0,772,-439,
少数股东损益(万元),2201,10775,9363,6872,2142,10036,8081,9229,9844,9311,3747,1698,667,
基本每股收益,0.15,0.69,0.55,0.39,0.11,0.67,0.55,0.74,0.61,0.54,0.51,0.32,0.19,
稀释每股收益,0.15,0.69,0.55,0.39,0.11,0.67,0.55,0.74,0.61,0.54,0.51,0.32,0.19,
