报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),52554,37785,25201,39757,27734,30331,30555,27819,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,
应收账款(万元),30058,22700,28096,16414,16218,22745,34431,28002,
预付款项(万元),2195,2107,1610,944,910,189,328,115,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),11,96,40,--,22,88,113,84,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),849,1053,1035,986,623,458,277,486,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),4498,1147,1550,1326,1551,1147,2138,686,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),379,176,162,615,8217,828,2168,2617,
流动资产合计(万元),90544,65063,57695,60043,55274,55786,70009,59810,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),3133,3133,1905,1905,756,1908,2763,2610,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),4503,4273,3868,4013,3020,3055,957,1679,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,3655,--,3602,--,3319,--,--,
累计折旧(万元),--,2335,--,2246,--,1803,--,--,
固定资产净值(万元),--,1321,--,1356,--,1517,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),1274,1321,1358,1356,1395,1517,1770,2065,
在建工程(万元),21488,16655,11469,4113,3105,1599,160,--,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),4048,4104,4137,4248,4364,4467,4642,4685,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),5653,5653,5653,5653,1451,--,--,--,
长期待摊费用(万元),0,1,3,10,29,55,111,186,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),422,418,422,370,705,389,345,236,
其他非流动资产(万元),--,--,637,1630,1630,--,503,75,
非流动资产合计(万元),40520,35558,29453,23297,16455,12990,11251,11536,
资产总计(万元),131064,100622,87148,83340,71729,68775,81261,71345,
短期借款(万元),--,--,--,200,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),93,--,--,--,--,--,--,--,
应付账款(万元),2111,1919,1633,501,241,97,301,490,
