 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),22568,--,--,--,--,--,--,--,--,--,--,10701, 
 收取利息、手续费及佣金的现金(万元),88449,415388,319789,205152,95236,472891,350463,243930,100899,615081,290932,263038, 
 拆入资金净增加额(万元),--,--,--,--,--,50000,50000,--,--,--,-47000,163000, 
 回购业务资金净增加额(万元),50347,--,--,--,--,310936,--,108416,14115,--,406869,444871, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),172424,634306,295935,485782,502384,469795,143741,101006,290409,378885,133738,316152, 
 经营活动现金流入小计(万元),506788,1055566,629852,771407,611850,1569005,841262,744037,405423,1905831,3306560,1842782, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),16032,59874,34038,19701,6051,40642,32435,22848,8683,74278,23661,17028, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),50727,142915,108753,81183,49273,129756,101995,77550,49046,100028,47815,62384, 
 支付的各项税费(万元),21255,51500,42746,29659,15665,87131,69580,50601,20711,102148,52295,32565, 
 支付的其他与经营活动有关的现金(万元),252844,635421,627674,514092,122394,928529,812225,377244,132593,420780,65033,256163, 
 经营活动现金流出小计(万元),340857,2156307,1243496,882646,743943,2158129,1592467,1148328,806232,1541834,1183961,1019207, 
 经营活动产生的现金流量净额(万元),165931,-1100741,-613643,-111239,-132093,-589125,-751205,-404292,-400809,363997,2122599,823575, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,4718,6210,--,10350, 
 取得投资收益所收到的现金(万元),--,200,1641,--,--,--,--,--,147,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,-142,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),6,237,5696,67,118,138,332,39,217,101,11168,93, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6,437,7337,67,118,138,332,39,4941,6311,11168,10443, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2090,10777,8521,7003,2745,10270,2997,1559,567,11178,2631,74063, 
 投资所支付的现金(万元),--,1891,1901,1901,133,8670,2376,8496,2207,1210,10,2750, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,21210,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2090,12668,10422,8904,2877,18940,5373,10055,2774,12388,23851,76813, 
 投资活动产生的现金流量净额(万元),-2084,-12231,-3085,-8837,-2760,-18802,-5041,-10017,2167,-6077,-12683,-66370, 
 吸收投资收到的现金(万元),--,275680,275680,275680,--,--,1909,1499,--,12580,--,2000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,12580,--,2000, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,6250, 
 发行债券收到的现金(万元),562708,426280,5000,--,--,1112834,625000,230000,--,1323356,1101746,533357, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),562708,701960,280680,275680,0,1112834,626909,231499,0,1335936,1101746,541607, 
 偿还债务支付的现金(万元),472090,632834,427834,377834,207834,961610,756610,351610,131610,410103,231103,401250, 
 分配股利、利润或偿付利息所支付的现金(万元),15472,53999,43980,33515,30446,80012,70592,62505,22337,15646,15954,5570, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,1250,1250,1250,--,--,--,--, 
 筹资活动现金流出小计(万元),487562,686833,471814,411349,238280,1042872,828452,415365,153947,425749,247057,406820, 
