 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),237463,115674,580481,130885,102680,384902,384563,441418, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),25761,12653,40485,20217,10343,34386,32534,27243, 
 收到的其他与经营活动有关的现金(万元),61185,18960,69239,63371,26696,60473,78430,120341, 
 经营活动现金流入小计(万元),324410,147287,690204,214474,139719,479761,495527,589001, 
 购买商品、接受劳务支付的现金(万元),256026,115291,578515,170867,121656,395446,309061,379214, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),18631,9484,35647,17930,8301,32273,27200,22536, 
 支付的各项税费(万元),14497,6458,16911,10106,6000,11813,12481,12709, 
 支付的其他与经营活动有关的现金(万元),58708,25105,64986,47486,16015,81397,74095,90261, 
 经营活动现金流出小计(万元),347863,156338,696060,246389,151973,520930,422837,504721, 
 经营活动产生的现金流量净额(万元),-23453,-9051,-5855,-31916,-12254,-41168,72691,84280, 
 收回投资所收到的现金(万元),--,--,793,793,--,--,--,15315, 
 取得投资收益所收到的现金(万元),318,238,1608,582,1290,324,5189,538, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1432,--,25,10,--,273,53,233, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),10155,10000,40317,20017,7500,105791,131351,27502, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),11904,10238,42744,21403,8790,106388,136592,43588, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4426,6552,8347,3869,2077,19509,8267,9121, 
 投资所支付的现金(万元),--,679,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),36468,362,22799,22210,10000,55475,147791,79274, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),40894,7593,31145,26080,12077,74984,156059,88395, 
 投资活动产生的现金流量净额(万元),-28990,2645,11599,-4677,-3287,31404,-19466,-44807, 
 吸收投资收到的现金(万元),80112,--,--,--,--,--,30315,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),293844,189847,366412,236295,117642,395415,378114,434930, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),94404,75482,163182,167818,73177,309766,325057,343119, 
