 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),114440,57963,230208,102762,52702,209876,217650,59870,216248,158883,105512, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,15,57,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),7059,871,11262,5168,1211,14222,8579,581,4039,6796,8406, 
 经营活动现金流入小计(万元),121498,58849,241526,107930,53913,224099,226229,60451,220287,165678,113918, 
 购买商品、接受劳务支付的现金(万元),36222,15869,67465,30341,12839,58854,68241,15004,55973,49721,32219, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),20099,10475,30988,15726,7895,27843,26280,6701,25724,17592,13415, 
 支付的各项税费(万元),22785,9175,41888,21869,12844,45564,37084,11402,39070,23323,19471, 
 支付的其他与经营活动有关的现金(万元),24211,9059,45051,19759,9786,43568,40449,9542,43981,34916,29832, 
 经营活动现金流出小计(万元),103317,44579,185392,87695,43365,175828,172055,42648,164747,125552,94938, 
