报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),15522,20343,8282,18866,22350,23703,11920,7451,4229,1404,2414,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,230,211,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),10140,3166,5681,3379,3010,3823,5377,3312,1281,267,936,
应收账款(万元),27372,23486,19501,12576,7898,7706,5514,3516,3539,1983,2472,
预付款项(万元),1274,196,247,1268,624,1246,--,--,7,--,6,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),526,1178,1164,232,202,172,112,551,512,2228,2507,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),11701,9454,7995,7911,5053,3123,3112,3052,3410,1942,1246,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),14020,4070,12546,840,904,283,137,622,1552,90,--,
流动资产合计(万元),80555,61893,55416,45073,40040,40055,26171,18504,14531,8144,9793,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),66,61,45,49,50,43,38,38,38,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),3068,--,2443,--,2205,--,1666,1397,--,--,--,
累计折旧(万元),1353,--,1143,--,951,--,779,503,--,--,--,
固定资产净值(万元),1715,--,1300,--,1254,--,887,895,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
