报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),11027,11439,11307,6347,21682,9356,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),60,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),171,--,--,--,25,158,
应收账款(万元),19113,18927,19850,17752,17287,17398,
预付款项(万元),6042,3269,1828,2007,660,1006,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),1027,732,711,804,3270,11340,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),25010,20761,20272,21108,14669,16807,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),2396,2480,1847,1442,17001,1612,
流动资产合计(万元),64846,57608,55815,49460,74593,57679,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,1200,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),77,82,100,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,119,
固定资产原值(万元),--,78219,--,73044,58657,--,
累计折旧(万元),--,24124,--,23120,19832,--,
固定资产净值(万元),--,54095,--,49925,38825,--,
固定资产减值准备(万元),--,261,--,261,164,--,
固定资产(万元),53078,53834,49103,49664,38662,41128,
在建工程(万元),6361,5575,5738,1166,2463,1103,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),9433,9484,9609,9727,9437,7352,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),1495,1495,1495,1495,1495,1495,
长期待摊费用(万元),187,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),1290,1311,1340,1281,841,372,
其他非流动资产(万元),--,--,--,--,--,529,
非流动资产合计(万元),71920,71781,67385,63333,52897,53298,
资产总计(万元),136766,129389,123200,112793,127490,110977,
短期借款(万元),47245,41000,41520,39000,43430,61670,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),5645,5725,6173,3266,27845,6295,
应付账款(万元),13557,13402,12367,11645,9372,13228,
预收账款(万元),858,342,401,784,899,1032,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),2095,2638,2562,2723,2534,2433,
应交税费(万元),737,1528,1052,967,1041,474,
应付利息(万元),76,56,63,76,60,124,
应付股利(万元),--,--,--,--,--,259,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),1842,1621,2664,2427,14322,9271,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,162,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),72055,66311,66803,60888,99666,94786,
长期借款(万元),--,--,--,--,--,4800,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),1513,1707,2232,3075,--,554,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),5206,5351,5716,5011,1579,260,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),6719,7058,7948,8087,1579,5614,
负债合计(万元),78774,73369,74751,68975,101245,100400,
实收资本(或股本)(万元),7500,7500,7500,7500,6696,1893,
资本公积(万元),29003,29003,29002,29002,12157,8913,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),1242,1242,495,495,1121,527,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),20150,18179,11379,6749,5892,-1421,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),57895,55923,48375,43746,25865,9912,
少数股东权益(万元),97,96,74,73,379,665,
所有者权益(或股东权益)合计(万元),57992,56019,48449,43818,26245,10577,
负债和所有者权益(或股东权益)总计(万元),136766,129389,123200,112793,127490,110977,		
