 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),16101,66468,31452,18254,59380,27359,46797,42608,35149, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),598,1506,786,447,1549,597,912,1307,995, 
 收到的其他与经营活动有关的现金(万元),362,734,334,294,3501,2005,2051,2492,1741, 
 经营活动现金流入小计(万元),17061,68707,32572,18995,64430,29962,49760,46407,37885, 
 购买商品、接受劳务支付的现金(万元),12125,36793,18296,12173,34908,16937,25176,28246,23990, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3524,12327,6381,3455,10521,4759,8900,7197,6114, 
 支付的各项税费(万元),1220,4949,2563,1418,5546,2093,3763,1884,1453, 
 支付的其他与经营活动有关的现金(万元),976,4365,2011,724,5539,2101,4205,5159,2906, 
 经营活动现金流出小计(万元),17844,58435,29251,17770,56514,25891,42044,42486,34463, 
 经营活动产生的现金流量净额(万元),-783,10272,3321,1225,7915,4071,7716,3921,3422, 
 收回投资所收到的现金(万元),--,315,--,--,21628,15495,23592,30313,7311, 
 取得投资收益所收到的现金(万元),--,101,101,--,199,194,233,2,1, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6,55,4,3,-4,4,-156,-35,19, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6,471,106,3,21823,15694,23669,30280,7331, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1743,6214,2643,1182,5105,2059,2108,3290,1970, 
 投资所支付的现金(万元),6500,--,--,--,19959,14352,26487,31621,7804, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),8243,6214,2643,1182,25064,16412,28595,34911,9774, 
 投资活动产生的现金流量净额(万元),-8238,-5743,-2538,-1179,-3242,-718,-4926,-4631,-2443, 
 吸收投资收到的现金(万元),45015,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),3109,13532,6844,4850,22799,12800,17821,17042,10627, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),48124,13532,6844,4850,22799,12800,17821,17042,10627, 
 偿还债务支付的现金(万元),3862,13657,6441,4449,20105,11105,18496,15536,11634, 
 分配股利、利润或偿付利息所支付的现金(万元),1003,1034,813,104,6181,4349,2927,552,493, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,1522,165,2426,--,--, 
 支付其他与筹资活动有关的现金(万元),190,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),5055,14691,7255,4553,26286,15454,21423,16088,12127, 
 筹资活动产生的现金流量净额(万元),43069,-1159,-410,297,-3487,-2654,-3602,954,-1500, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),34048,3371,374,344,1187,699,-812,244,-521, 
 加:期初现金及现金等价物余额(万元),5166,1795,1795,1795,609,609,1421,1176,1697, 
 期末现金及现金等价物余额(万元),39214,5166,2169,2139,1795,1308,609,1421,1176, 
 净利润(万元),--,8656,--,--,6782,--,5333,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,4,--,--,-722,--,839,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1616,--,--,1599,--,1460,--,--, 
 无形资产摊销(万元),--,95,--,--,101,--,59,--,--, 
 长期待摊费用摊销(万元),--,928,--,--,837,--,753,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,13,--,--,117,--,19,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,-23,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,430,--,--,425,--,480,--,--, 
 投资损失(万元),--,-845,--,--,-834,--,-964,--,--, 
 递延所得税资产减少(万元),--,13,--,--,-673,--,-145,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,13,--,--,-2185,--,1361,--,--, 
 经营性应收项目的减少(万元),--,-991,--,--,-2956,--,-878,--,--, 
 经营性应付项目的增加(万元),--,340,--,--,2309,--,-579,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,3116,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,10272,--,--,7915,--,7716,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),39214,5166,2169,2139,1795,1308,609,1421,1176, 
 现金的期初余额(万元),5166,1795,1795,1795,609,609,1421,1176,1697, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--, 
