报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),5734,17352,11768,10260,6595,9880,11864,16636,13665,21272,16002,4139,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2497,1462,574,862,441,759,75,153,50,50,150,90,
应收账款(万元),27035,30324,28201,29099,25530,23168,19816,16288,12720,10531,8580,7736,
预付款项(万元),4360,915,773,7,6,20,37,16,8747,6844,8291,18051,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2165,1887,1760,1351,1211,933,1239,1043,750,722,528,647,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),94,89,--,--,--,--,--,--,--,1518,1269,1025,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),20231,8680,9679,10020,8256,12190,6362,79,12,12,12,9,
流动资产合计(万元),62115,60709,52756,51599,42039,46950,39393,34215,35945,40949,34832,31696,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),1269,1287,1322,1357,--,--,--,--,--,--,--,--,
固定资产原值(万元),38271,38358,--,38407,39820,--,--,--,35000,--,--,--,
累计折旧(万元),22382,22071,--,20497,18595,--,--,--,10157,--,--,--,
固定资产净值(万元),15890,16287,--,17910,21225,--,--,--,24843,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),15890,16287,17171,17910,21225,21658,31672,24174,24843,26253,23318,21664,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),814,802,831,854,672,560,611,702,774,671,322,251,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,171,171,171,
长期待摊费用(万元),82,95,106,139,200,265,52,69,42,26,--,12,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),4486,4520,4716,3791,3096,2691,2207,2078,2831,3172,2728,1968,
其他非流动资产(万元),--,14,--,--,--,1430,--,8454,--,--,--,--,
非流动资产合计(万元),22541,23005,24145,24051,25193,26604,34543,35478,28491,30293,26539,24066,
资产总计(万元),84656,83714,76901,75650,67232,73554,73935,69693,64435,71241,61371,55762,
短期借款(万元),--,--,130,130,--,1900,4900,7100,8000,13500,11000,11000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),1414,2284,1292,1998,1082,860,1194,1501,678,834,405,811,
预收账款(万元),6876,3297,2497,2636,2628,4216,3398,2130,858,482,502,455,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
