报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),967614,1408094,181763,245653,129294,5958,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),1623,1374,--,--,--,--,
应收票据(万元),752775,545834,287531,57052,42218,--,
应收账款(万元),671569,691852,600515,731584,239393,37159,
预付款项(万元),84730,30584,15620,10118,7047,1533,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),4738,5231,8955,756,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),14938,9063,12967,18381,5548,3000,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),411304,341776,395504,135977,104161,31208,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),155859,269503,1166083,976070,22786,110409,
流动资产合计(万元),3065151,3303310,2668938,2176132,550447,189266,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),196272,196129,154750,14340,500,500,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),78003,79103,31073,16966,--,22722,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,1036137,--,462848,--,--,
累计折旧(万元),--,214187,--,90101,--,--,
固定资产净值(万元),--,821950,--,372747,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),844667,821950,563548,372747,131310,24284,
在建工程(万元),312259,297436,423784,122613,47489,17406,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,1,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),139028,140876,116245,62165,50276,23761,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),10042,10042,10042,10042,10042,--,
长期待摊费用(万元),16394,13931,4893,1421,613,30,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),58008,51005,33245,26491,13524,2510,
其他非流动资产(万元),62500,52507,81844,55914,63094,7032,
非流动资产合计(万元),1717173,1662978,1419423,682699,316849,98245,
资产总计(万元),4782324,4966289,4088362,2858831,867296,287511,
短期借款(万元),116367,224510,125798,122659,57656,19713,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),736294,881272,542778,439404,104120,10442,
应付账款(万元),430862,497826,619010,317340,147240,38471,
预收账款(万元),51807,20317,19264,8773,17005,872,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),50959,51731,40295,44625,19849,2120,
应交税费(万元),30661,43620,39675,24830,25262,3059,
应付利息(万元),1627,1521,867,578,364,9,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),29657,31716,36101,36024,31176,6205,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),44936,36494,12978,24051,132257,12738,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),1493171,1789005,1436764,1018282,534929,93628,
长期借款(万元),275526,212910,71995,30200,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),89409,89505,91385,95008,91767,134491,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),178756,178901,126842,93058,58112,4366,
长期递延收益(万元),40429,41946,37753,40358,29634,21485,
递延所得税负债(万元),6912,6899,8207,2813,3022,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),591031,530160,336181,261437,182534,160342,
负债合计(万元),2084202,2319165,1772946,1279720,717463,253970,
实收资本(或股本)(万元),195519,195519,195519,61332,47059,20000,
资本公积(万元),1537444,1535459,1507339,1160855,36901,--,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),63825,63825,29984,29984,3708,695,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),691825,650490,499236,296536,37630,4974,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),2513782,2470144,2263430,1548865,125367,25688,
少数股东权益(万元),184340,176980,51986,30247,24466,7852,
所有者权益(或股东权益)合计(万元),2698122,2647124,2315416,1579112,149833,33541,
负债和所有者权益(或股东权益)总计(万元),4782324,4966289,4088362,2858831,867296,287511,		
  
