报告日期,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),1389,532,2245,479,2263,7737,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),2733,1971,970,527,1407,588,
应收账款(万元),6457,8010,8368,7935,8038,6233,
预付款项(万元),242,111,140,218,275,546,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),131,157,41,320,468,1025,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),1353,1286,1299,1444,1244,1196,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),6,16,453,519,697,0,
其他流动资产(万元),1288,2262,2303,2829,6753,11061,
流动资产合计(万元),13600,14346,15818,14271,21144,28386,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),65,65,65,65,65,65,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,1692,1692,1692,1692,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),267,289,300,311,332,0,
固定资产原值(万元),75039,73983,--,72648,--,--,
累计折旧(万元),28135,21970,--,15742,--,--,
固定资产净值(万元),46904,52013,--,56906,--,--,
固定资产减值准备(万元),334,--,--,--,--,--,
固定资产(万元),46570,52013,54903,56906,30117,10654,
在建工程(万元),3644,1290,371,393,11248,12477,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),2192,2124,1946,1768,1815,745,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),32,49,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),273,163,172,187,174,153,
其他非流动资产(万元),165,579,1306,1791,10829,10891,
非流动资产合计(万元),53209,56573,60755,63113,56273,36677,
资产总计(万元),66809,70918,76573,77385,77417,65063,
短期借款(万元),--,--,--,--,1,16801,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,170,941,
应付账款(万元),2246,2147,2837,3510,3524,2212,
预收账款(万元),278,299,326,461,364,202,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),607,513,302,401,337,342,
应交税费(万元),1108,818,1156,1546,899,569,
应付利息(万元),--,--,--,--,--,--,
应付股利(万元),--,30,30,--,6,96,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),773,759,866,1341,4134,510,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),10655,8790,8267,23663,5962,76,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),15668,13356,13785,30922,15398,21749,
长期借款(万元),18000,28700,33000,13400,29000,20000,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),111,746,3148,2604,6299,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,12,--,
长期递延收益(万元),459,403,455,506,502,479,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),18570,29849,36602,16510,35814,20479,
负债合计(万元),34237,43206,50387,47432,51211,42228,
实收资本(或股本)(万元),9000,9000,9000,9000,9000,9000,
资本公积(万元),2171,2171,2171,2171,2171,2171,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),3220,2674,2419,2052,1627,1324,
盈余公积(万元),1698,1698,1701,1698,1546,1337,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),16482,12170,10895,15031,11861,8909,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),32571,27713,26186,29952,26206,22741,
少数股东权益(万元),--,--,--,--,--,95,
所有者权益(或股东权益)合计(万元),32571,27713,26186,29952,26206,22836,
负债和所有者权益(或股东权益)总计(万元),66809,70918,76573,77385,77417,65063,		
  
