报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
营业总收入(万元),67960,266978,135303,69892,251989,123006,579703,292892,
营业收入(万元),--,--,--,--,--,--,--,--,
利息收入(万元),9871,139346,68896,12619,128499,63334,178682,69777,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),28074,150458,71836,36384,179509,90280,466690,203018,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),233,1177,583,263,2064,1077,921,1106,
营业总成本(万元),30915,135256,61543,24877,121003,57412,219611,126690,
营业成本(万元),--,--,--,--,--,--,--,--,
利息支出(万元),--,95072,45482,--,92246,47741,106097,27731,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),0,4,4,2,454,437,1104,263,
营业税金及附加(万元),369,2421,1239,523,8250,5426,34325,15537,
销售费用(万元),30887,134676,62935,23567,109587,50916,183094,110614,
管理费用(万元),--,--,--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,
资产减值损失(万元),-342,-1845,-2634,785,2711,634,1089,275,
公允价值变动收益(万元),6083,-8188,3292,1103,1710,3420,-14593,15290,
投资收益(万元),23815,72565,36242,19540,32301,12589,53982,31426,
对联营企业和合营企业的投资收益(万元),--,-402,-207,--,-320,-172,-187,-126,
汇兑收益(万元),-86,-149,-64,-15,153,47,118,6,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),1627,9173,1536,348,972,644,3781,6121,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),37045,131722,73759,45015,130986,65594,360092,166202,
营业外收入(万元),783,1034,752,318,1581,776,268,721,
营业外支出(万元),120,1427,1130,82,513,171,-869,1039,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,
利润总额(万元),37708,131329,73381,45251,132055,66200,361229,165884,
所得税费用(万元),8974,29330,15959,10342,27945,15406,89062,39758,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),28734,101999,57422,34909,104110,50793,272166,126125,
归属于母公司所有者的净利润(万元),28734,101912,57408,34922,104110,50793,272166,126125,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),-0,86,14,-13,--,--,--,--,
基本每股收益,0.12,0.49,0.27,0.17,--,--,--,--,
稀释每股收益,0.12,0.49,0.27,0.17,--,--,--,--,
