报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),3551,4326,41426,6034,2308,1858,5758,9473,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,
应收账款(万元),429,858,313,655,340,422,631,313,
预付款项(万元),336,209,148,299,166,196,426,187,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),207,199,160,224,167,170,168,3068,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),702,719,783,733,722,824,811,669,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),40,14,--,26,--,--,1,1,
其他流动资产(万元),18157,18211,150,97,173,62,77,--,
流动资产合计(万元),23422,24537,42980,8068,3877,3533,7871,13712,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),500,500,500,500,500,500,500,500,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),1747,1792,1839,1877,1954,2098,3086,2408,
固定资产原值(万元),--,121698,--,121922,121500,116245,111042,--,
累计折旧(万元),--,48397,--,45316,42139,34765,27327,--,
固定资产净值(万元),--,73301,--,76606,79361,81481,83715,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),71896,73301,75561,76606,79361,81481,83715,67605,
在建工程(万元),331,286,287,206,128,130,153,8557,
工程物资(万元),--,--,--,--,--,--,--,--,
