 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),53676,236620,101246,47242,237023,252825,258885, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4709,3635,4616,245,11931,4757,3292, 
 经营活动现金流入小计(万元),58386,240255,105863,47488,248954,257582,262177, 
 购买商品、接受劳务支付的现金(万元),30798,108048,48496,22074,94310,96856,109068, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10996,46712,20131,9665,55109,57081,49372, 
 支付的各项税费(万元),4285,23316,11350,5579,30682,29306,26876, 
 支付的其他与经营活动有关的现金(万元),11459,44708,22974,10284,37151,33928,42217, 
 经营活动现金流出小计(万元),57538,222783,102952,47602,217251,217171,227532, 
 经营活动产生的现金流量净额(万元),847,17471,2910,-115,31703,40411,34644, 
 收回投资所收到的现金(万元),--,--,--,--,--,44309,7000, 
 取得投资收益所收到的现金(万元),--,--,--,--,61,2510,1168, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),12,1130,430,398,718,660,79, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,18831,48450,14919, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),12,1130,430,398,19610,95929,23166, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3594,14466,8223,3415,13305,22478,9652, 
 投资所支付的现金(万元),--,--,--,--,--,22500,22000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,18000,47700,10000, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3594,14466,8223,3415,31305,92678,41652, 
 投资活动产生的现金流量净额(万元),-3582,-13335,-7793,-3017,-11696,3251,-18486, 
 吸收投资收到的现金(万元),55650,--,--,--,--,882,3000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,882,--, 
 取得借款收到的现金(万元),9959,24900,13800,10500,62000,101930,66200, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,30000,5000,20000, 
 筹资活动现金流入小计(万元),65609,24900,13800,10500,92000,107812,89200, 
 偿还债务支付的现金(万元),9528,39443,18697,9500,95395,84615,105350, 
 分配股利、利润或偿付利息所支付的现金(万元),522,4474,3061,1102,12386,10436,9304, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,1094,9,--, 
 支付其他与筹资活动有关的现金(万元),5042,15692,15692,15692,14308,25000,424, 
 筹资活动现金流出小计(万元),15093,59610,37450,26294,122089,120051,115078, 
 筹资活动产生的现金流量净额(万元),50516,-34710,-23650,-15794,-30089,-12239,-25878, 
 汇率变动对现金及现金等价物的影响(万元),--,-87,-0,-0,-9,-0,--, 
 现金及现金等价物净增加额(万元),47781,-30661,-28533,-18926,-10091,31423,-9719, 
